gene	observed	raw_count	domain_width	expected	obs_exp	per_100kb	fdr	rank_raw_domain_count	rank_domain_normalised	rank_change	is_ohnologue
pnpla7a	4	NA	90451	0.038979371990068915	102.6183798194366	4.422283888514223	2.7060882589044315e-4	20	60	-40	TRUE
hcn2b	1	NA	22959	0.009894057572829403	101.0707682504449	4.355590400278758	1	219	61	158	TRUE
LOC141377657	2	NA	47228	0.02035265260026948	98.26728924629309	4.23477598035064	0.1473408170661925	81	62	19	FALSE
ppa1a	2	NA	47330	0.020396608951697183	98.05551524453685	4.225649693640397	0.1473408170661925	81	63	18	TRUE
kat7a	2	2	47966	0.020670689731187554	96.75535872334424	4.169620147604554	0.14913824738577158	81	64	17	TRUE
arhgap32a	2	NA	51383	0.022143227504015556	90.32106993604752	3.892337932779324	0.16394993496012447	81	65	16	TRUE
LOC569391	1	1	26268	0.011320053326498662	88.33880646649781	3.806913354652048	1	219	66	153	FALSE
pou4f2	5	3	132567	0.05712903568349124	87.52116922997295	3.7716777176823797	1.981696495993244e-5	11	67	-56	FALSE
rx3	1	1	27219	0.011729881661868702	85.25235196965225	3.6739042580550354	1	219	68	151	FALSE
tomm22	1	NA	28830	0.012424133447653281	80.48851086583298	3.46860908775581	1	219	69	150	FALSE
LOC141377880	2	NA	58090	0.025033573082697852	79.89271021731675	3.4429333792391117	0.20631576867579696	81	70	11	FALSE
synrg	1	NA	29771	0.01282965233680492	77.94443479432887	3.3589734976991035	1	219	71	148	FALSE
kcnab2b	3	NA	89378	0.03851696841083437	77.88774983537218	3.356530689878941	0.014636703952810864	42	72	-30	TRUE
dhx35	3	2	89808	0.03870227459822566	77.51482389971822	3.3404596472474615	0.014636703952810864	42	73	-31	FALSE
LOC141383305	1	NA	30150	0.012992980348482359	76.96463576324925	3.316749585406302	1	219	74	145	FALSE
si:dkey-248f6.3	4	4	121556	0.052383904452408675	76.35933292513623	3.2906643851393595	7.069505695076503e-4	20	75	-55	FALSE
hoxb4a	1	NA	30424	0.013111059174866577	76.27148857027231	3.2868787799105967	1	219	76	143	TRUE
rnf41l	1	NA	30497	0.013142518132260913	76.08891918096747	3.2790110502672394	1	219	77	142	FALSE
mtmr12	1	NA	30626	0.013198109988478299	75.76842448448916	3.2651995036896757	1	219	78	141	FALSE
LOC137490508	2	NA	62999	0.027149080231311448	73.66732069594643	3.1746535659296176	0.23287765628503032	81	79	2	FALSE
kiz	6	NA	189773	0.08178165372048234	73.36608795546147	3.1616721029861994	3.162613655394695e-6	4	80	-76	FALSE
pax7b	3	NA	95058	0.04096473386288677	73.2337236717151	3.155967935365777	0.016592224789264448	42	81	-39	TRUE
LOC141376129	1	NA	31694	0.013658358844603645	73.21523847611424	3.155171325802991	1	219	82	137	FALSE
nemp1	1	NA	31715	0.01366740868166229	73.1667592073771	3.1530821377896894	1	219	83	136	FALSE
ormdl2	1	1	31715	0.01366740868166229	73.1667592073771	3.1530821377896894	1	219	83	136	FALSE
LOC141378831	2	2	64103	0.02762484309382304	72.39860125928473	3.119978784144268	0.236337404021303	81	85	-4	FALSE
gem	1	NA	32212	0.013881588158716873	72.0378668900399	3.1044331305103685	1	219	86	133	FALSE
LOC141378372	2	2	64834	0.027939863612388233	71.58231077095243	3.0848011845636547	0.236337404021303	81	87	-6	FALSE
onecut3a	2	2	65046	0.028031223872218358	71.34900741819527	3.074747102050856	0.236337404021303	81	88	-7	TRUE
LOC141377753	1	NA	32675	0.014081115518628892	71.01710078843044	3.0604437643458304	1	219	89	130	FALSE
LOC141376620	2	NA	65470	0.02821394439187861	70.88693350426041	3.0548342752405686	0.236337404021303	81	90	-9	FALSE
LOC141386125	2	2	65517	0.0282341987891051	70.83608126934887	3.052642825526199	0.236337404021303	81	91	-10	FALSE
si:ch73-234b20.5	1	NA	33258	0.014332356233161736	69.7721982158267	3.006795357507968	1	219	92	127	FALSE
hnrnpd	1	1	33258	0.014332356233161736	69.7721982158267	3.006795357507968	1	219	92	127	FALSE
lhx9	1	1	33390	0.014389240923244642	69.49636922018463	2.994908655286014	1	219	94	125	FALSE
ptch2	3	NA	100585	0.04334656478779761	69.20963667332003	2.982552070388229	0.018054642601899075	42	95	-53	FALSE
gdpgp1	1	NA	33602	0.014480601183074766	69.0579063228964	2.97601333253973	1	219	96	123	FALSE
man2a2	1	NA	33602	0.014480601183074766	69.0579063228964	2.97601333253973	1	219	96	123	FALSE
LOC137488040	1	NA	33987	0.014646514862483247	68.27562798311016	2.9423014682084325	1	219	98	121	FALSE
LOC141378078	1	1	34353	0.014804240594076767	67.54821320589073	2.9109539195994527	1	219	99	120	FALSE
zic2a	1	1	35372	0.01524337316373194	65.60227774120673	2.8270948773040825	1	219	100	119	TRUE
pax2a	5	2	180895	0.07795572736778496	64.13896924353809	2.764034384587744	7.898633487057693e-5	11	101	-90	TRUE
atp8b3	2	NA	72563	0.03127063459459123	63.957768236207556	2.756225624629632	0.2858348461092648	81	102	-21	FALSE
si:ch211-126c2.4	1	NA	36836	0.01587427609010601	62.99499859544915	2.714735584754045	1	219	103	116	FALSE
afg1lb	1	NA	36918	0.015909613549096906	62.85507796364821	2.708705780378135	1	219	104	115	TRUE
ostm1	1	NA	36918	0.015909613549096906	62.85507796364821	2.708705780378135	1	219	104	115	FALSE
ralgapa2	6	2	223848	0.09646609170968753	62.19802102128135	2.680390264822558	6.6127308777206754e-6	4	106	-102	FALSE
LOC141381108	1	NA	37705	0.016248766966485154	61.543131368836086	2.652168147460549	1	219	107	112	FALSE
gon4lb	1	1	37905	0.016334955890853195	61.21840834354214	2.6381743833267377	1	219	108	111	TRUE
sesn4	1	1	37983	0.016368569571356732	61.092693264406826	2.63275675960298	1	219	109	110	FALSE
tmem184ba	1	NA	38016	0.016382790743877457	61.03966141261481	2.6304713804713806	1	219	110	109	TRUE
si:ch73-170d6.3	1	1	38163	0.01644613960328797	60.80454283630649	2.6203390718759008	1	219	111	108	FALSE
LOC141386318	1	NA	38862	0.016747369893954277	59.71086841289601	2.5732077607946064	1	219	112	107	FALSE
phc2b	1	NA	39166	0.0168783770589937	59.24740254971059	2.5532349486799775	1	219	113	106	TRUE
LOC141377108	2	NA	79277	0.0341639967856264	58.54115993950237	2.5227998032216155	0.31403688969775456	81	114	-33	FALSE
LOC141386273	2	NA	79722	0.03435576714234529	58.21438920905057	2.508717794335315	0.3140425303721028	81	115	-34	FALSE
grk7a	1	1	40650	0.017517898877804576	57.084471543959765	2.4600246002460024	1	219	116	103	TRUE
LOC141376042	2	2	81826	0.0352624746266971	56.71751688367914	2.4442108865152887	0.3270445998125186	81	117	-36	FALSE
efcab7	1	NA	41157	0.01773638780107756	56.38126608503935	2.4297203391889592	1	219	118	101	FALSE
hoxb2a	1	NA	41176	0.017744575748892523	56.355249860646126	2.428599183990674	1	219	119	100	TRUE
hoxc4a	1	NA	41385	0.01783464317485713	56.07064801889488	2.416334420683823	1	219	120	99	TRUE
alg6	1	NA	41877	0.018046667928802513	55.411891211451746	2.387945650356998	1	219	121	98	FALSE
LOC141375662	1	NA	42003	0.01810096695115438	55.24566741094599	2.3807823250720186	1	219	122	97	FALSE
si:cabz01021433.2	1	NA	42569	0.018344881607115938	54.511117673940305	2.349127299208344	1	219	123	96	FALSE
LOC137490239	2	2	85578	0.036879378847841565	54.23084830825598	2.337049241627521	0.3460563846416731	81	124	-43	FALSE
tgfb3	1	NA	42808	0.018447877371735748	54.20677836530473	2.3360119603812373	1	219	125	94	FALSE
gpatch4	1	NA	43001	0.018531049683750907	53.963483832049604	2.325527313318295	1	219	126	93	FALSE
tlnrd1	1	NA	43219	0.018624995611312072	53.69128781929163	2.313797172539855	1	219	127	92	FALSE
LOC101885646	5	NA	218507	0.09416441648443896	53.09861396344201	2.288256211471486	1.8704790473273358e-4	11	128	-117	FALSE
rnf157	1	1	43917	0.01892579495735654	52.837939027300706	2.2770225652936222	1	219	129	90	FALSE
herpud2	1	NA	44639	0.019236936974325176	51.983327768587216	2.240193552722955	1	219	130	89	FALSE
LOC137487862	1	NA	44639	0.019236936974325176	51.983327768587216	2.240193552722955	1	219	130	89	FALSE
bbs2	1	NA	44720	0.01927184348869423	51.88917191999027	2.23613595706619	1	219	132	87	FALSE
mir-138	1	NA	44720	0.01927184348869423	51.88917191999027	2.23613595706619	1	219	132	87	FALSE
fgf5	1	1	44830	0.019319247397096655	51.761850730804476	2.230649118893598	1	219	134	85	FALSE
mmp19	1	NA	44893	0.019346396908272587	51.68921141964148	2.227518766845611	1	219	135	84	FALSE
si:ch211-212o1.2	6	1	271708	0.11709110131096002	51.24215190414632	2.2082529774610977	1.5861707440370952e-5	4	136	-132	FALSE
zfhx4	9	7	412567	0.1777935297987503	50.62051476331767	2.1814638592034745	1.0039600248316008e-8	1	137	-136	FALSE
nr1h4	1	1	46191	0.01990576302742118	50.23670776259369	2.164923902924812	1	219	138	81	FALSE
osbpl8	1	NA	46288	0.019947564655739686	50.13143294724258	2.1603871413757343	1	219	139	80	FALSE
six1b	1	NA	47221	0.0203496359879166	49.140928151923184	2.1177018699307513	1	219	140	79	TRUE
LOC141379382	1	NA	47280	0.020375061720605173	49.07960592770653	2.1150592216582065	1	219	141	78	FALSE
crtc1b	1	NA	48010	0.020689651294548524	48.33334239245917	2.082899395959175	1	219	142	77	TRUE
LOC101883005	1	NA	48034	0.02069999396547269	48.309192827204996	2.0818586834325687	1	219	143	76	FALSE
LOC137490453	1	NA	48147	0.020748690707740634	48.195812164038564	2.0769726047313437	1	219	144	75	FALSE
LOC103910189	1	1	48164	0.02075601676631192	48.17880093559432	2.076239514990449	1	219	145	74	FALSE
esrrga	6	5	289443	0.12473390417929617	48.102398778245764	2.0729470051098144	1.981696495993244e-5	4	146	-142	TRUE
LOC141380702	2	NA	96993	0.04179861170614758	47.84847913276143	2.0620044745497097	0.42952027975999546	81	147	-66	FALSE
ube3c	1	1	49010	0.021120595916388735	47.347148913731175	2.0403999183840034	1	219	148	71	FALSE
zgc:152948	2	NA	98337	0.04237780127790082	47.194520236776896	2.0338224676368	0.43687868143645725	81	149	-68	FALSE
LOC137488814	1	NA	49262	0.021229193961092466	47.1049443437531	2.0299622427022856	1	219	150	69	FALSE
LOC137496481	4	NA	197069	0.08492582568142852	47.09992476263572	2.0297459265536437	0.003903176858794287	20	151	-131	FALSE
slc43a2a	1	1	49642	0.02139295291739175	46.74436501877371	2.0144232706176224	1	219	152	67	TRUE
wnt7aa	2	2	100475	0.04329916087939519	46.19027157525682	1.9905449116695695	0.4501321941398892	81	153	-72	TRUE
th2	1	NA	50336	0.021692028484948857	46.099884143793005	1.986649713922441	1	219	154	65	FALSE
onecut2	2	1	100857	0.04346378172493815	46.01532403823165	1.9830056416510506	0.4501321941398892	81	155	-74	FALSE
LOC141377198	3	2	151762	0.06540101769971408	45.87084582956138	1.9767794309510944	0.04672951946970946	42	156	-114	FALSE
LOC108182894	1	NA	50589	0.02180105747427443	45.86933460360878	1.976714305481429	1	219	157	62	FALSE
gpatch8	1	1	50589	0.02180105747427443	45.86933460360878	1.976714305481429	1	219	157	62	FALSE
LOC137489124	2	NA	101748	0.043847753382997776	45.612371118095	1.9656406022722805	0.4535136520038586	81	159	-78	FALSE
chchd6b	1	1	51037	0.021994120664858844	45.466696088366575	1.959362815212493	1	219	160	59	TRUE
soul4	1	1	51115	0.02202773434536238	45.397315235487916	1.9563728846718185	1	219	161	58	FALSE
pdpk1a	1	1	51163	0.022048419687210708	45.35472447397465	1.954537458710396	1	219	162	57	TRUE
olig2	1	1	51498	0.02219278613552718	45.05968713856781	1.9418229834168317	1	219	163	56	FALSE
LOC141381609	1	NA	51717	0.02228716300771019	44.86887809157462	1.9336001701568148	1	219	164	55	FALSE
hoxc1a	1	NA	51786	0.02231689818661716	44.80909450936479	1.9310238288340478	1	219	165	54	TRUE
LOC103910324	1	1	51934	0.022380677990649512	44.68139885743376	1.9255208533908421	1	219	166	53	FALSE
LOC100535964	1	NA	51980	0.022400501443254162	44.64185779649797	1.923816852635629	1	219	167	52	FALSE
nbr1a	1	NA	51980	0.022400501443254162	44.64185779649797	1.923816852635629	1	219	167	52	TRUE
LOC141377871	2	NA	104082	0.044853578130372836	44.589530721199914	1.9215618454679961	0.4664349597853705	81	169	-88	FALSE
LOC141377105	2	2	104231	0.044917788879027025	44.52578922320547	1.9188149398931218	0.4664349597853705	81	170	-89	FALSE
LOC101884290	2	NA	106634	0.04595334880530905	43.522399389724946	1.875574394658364	0.4832084616187153	81	171	-90	FALSE
otud5b	1	NA	53518	0.023063294271644406	43.35894032403985	1.8685302141335627	1	219	172	47	TRUE
as.1666	1	1	53797	0.023183527821137827	43.13407380080608	1.8588397122516127	1	219	173	46	FALSE
si:dkey-188g12.1	1	NA	53797	0.023183527821137827	43.13407380080608	1.8588397122516127	1	219	173	46	FALSE
LOC141378602	5	NA	269762	0.11625248307685897	43.00983400667931	1.8534856651418656	4.3894261669542563e-4	11	175	-164	FALSE
prox2	1	NA	53965	0.02325592651760698	42.9997918699521	1.8530529046604283	1	219	176	43	FALSE
psmb2	1	1	54905	0.02366101446213678	42.26361475752599	1.8213277479282395	1	219	177	42	FALSE
LOC141378586	1	NA	54997	0.023700661367346082	42.19291540014845	1.818280997145299	1	219	178	41	FALSE
parp6a	1	1	55293	0.02382822097541078	41.967044079032874	1.8085471940390283	1	219	179	40	TRUE
grm6b	1	1	55559	0.02394285224482028	41.76611832937894	1.799888406918771	1	219	180	39	TRUE
kctd5a	1	NA	55892	0.024086356803893066	41.517279185965165	1.7891648178630217	1	219	181	38	TRUE
noto	1	NA	56151	0.024197971460949683	41.32577813862557	1.7809121832202455	1	219	182	37	FALSE
plekhh2	1	NA	56449	0.024326392958258065	41.107615161685146	1.7715105670605324	1	219	183	36	FALSE
rps6kl1	1	NA	56521	0.024357420971030563	41.05524969943852	1.7692539056279968	1	219	184	35	FALSE
morn4	1	NA	56565	0.024376382534391533	41.02331420952823	1.7678776628657298	1	219	185	34	FALSE
ttc14	1	NA	57137	0.02462288285808413	40.612628739030136	1.750179393387822	1	219	186	33	FALSE
cdc25b	1	1	57201	0.024650463313881904	40.567188829949906	1.748221184944319	1	219	187	32	TRUE
LOC103911981	2	NA	115049	0.049579747798094424	40.339051504349705	1.7383897295934776	0.5435191881658359	81	188	-107	FALSE
LOC141375930	2	1	115397	0.04972971652649482	40.21740198206131	1.7331473088555163	0.5435191881658359	81	189	-108	FALSE
LOC141375935	1	NA	57715	0.024871968849507774	40.20590432750523	1.7326518236160442	1	219	190	29	FALSE
haao	1	NA	57761	0.02489179230211242	40.173884944200495	1.7312719655130626	1	219	191	28	FALSE
LOC141380493	2	NA	116267	0.0501046383474958	39.91646414308384	1.7201785545339605	0.5435191881658359	81	192	-111	FALSE
LOC101882204	3	NA	175766	0.0757454124023665	39.60635905002046	1.7068147423278677	0.06770659024713704	42	193	-151	FALSE
LOC137496480	1	NA	58855	0.025363245718405612	39.4271305456115	1.6990909863223176	1	219	194	25	FALSE
frmd4ba	1	NA	59037	0.025441677639580534	39.305584095769845	1.6938530074360147	1	219	195	24	TRUE
zgc:113054	1	NA	59037	0.025441677639580534	39.305584095769845	1.6938530074360147	1	219	195	24	FALSE
prpf4bb	2	NA	118316	0.0509876438776464	39.22518963220468	1.690388451266101	0.5509239532655752	81	197	-116	TRUE
prkd1	1	1	59310	0.02555932552134291	39.12466309664415	1.686056314280897	1	219	198	21	FALSE
six1a	1	NA	59342	0.025573115749241794	39.103565236459254	1.685147113342995	1	219	199	20	TRUE
aagab	1	NA	59370	0.02558518219865332	39.08512326531859	1.684352366515075	1	219	200	19	TRUE
gatd3	1	NA	59543	0.025659735618231677	38.97156287493013	1.6794585425658768	1	219	201	18	FALSE
csrp2	1	1	59696	0.02572567014537323	38.871679312884694	1.6751541141785042	1	219	202	17	FALSE
LOC141385792	1	NA	59708	0.025730841480835313	38.86386695688961	1.6748174448985058	1	219	203	16	FALSE
tcf7l2	5	5	298704	0.12872488232215837	38.842529197164495	1.6738979056189405	6.784013858518809e-4	11	204	-193	FALSE
LOC141375660	2	2	121802	0.052489916829381374	38.10255608712443	1.6420091624111262	0.578168954809519	81	205	-124	FALSE
adgrd2	1	1	60911	0.026249267860909087	38.096300639654	1.6417395872666676	1	219	206	13	FALSE
LOC100536923	3	NA	183854	0.07923089250381013	37.864018758285894	1.6317295245140164	0.07326150702363564	42	207	-165	FALSE
bsg	1	1	61561	0.02652938186510522	37.69405578632519	1.624405061646172	1	219	208	11	FALSE
chchd3a	1	NA	61909	0.026679350593505617	37.48217170786097	1.6152740312393996	1	219	209	10	TRUE
rhof	1	NA	62210	0.02680906492467952	37.300816078797055	1.6074586079408455	1	219	210	9	FALSE
LOC141379191	1	NA	62214	0.02681078870316688	37.298417852283485	1.6073552576590477	1	219	211	8	FALSE
LOC101887159	4	NA	250404	0.10791025708727617	37.06783866490895	1.5974185715883134	0.009468797138588992	20	212	-192	FALSE
LOC137488716	1	NA	62997	0.027148218342067765	36.834829726208625	1.5873771766909535	1	219	213	6	FALSE
LOC137496824	4	NA	252707	0.10890272255137418	36.730027553838475	1.5828607834369446	0.009468797138588992	20	214	-194	FALSE
LOC100147899	2	NA	127402	0.05490320671168655	36.42774474909287	1.5698340685389556	0.6260528397930463	81	215	-134	FALSE
erp44	1	NA	63733	0.02746539358374216	36.40945457238738	1.5690458632105817	1	219	216	3	FALSE
lmo4b	2	NA	127988	0.055155740260084914	36.26095834393794	1.5626464981091979	0.6262737292928177	81	217	-136	TRUE
LOC137487409	1	NA	64204	0.0276683685006289	36.142355122141375	1.5575353560525822	1	219	218	1	FALSE
LOC137489842	1	NA	64310	0.027714048630543962	36.08278289942412	1.5549681231534753	1	219	219	0	FALSE
nid1b	1	1	64564	0.027823508564491378	35.94083031196897	1.5488507527414659	1	219	220	-1	TRUE
LOC103910417	2	2	130290	0.05614777477956108	35.6202896348448	1.535037224652698	0.6430349323706176	81	221	-140	FALSE
LOC141379386	1	1	65439	0.028200585108601562	35.46025715952207	1.528140711196687	1	219	222	-3	FALSE
LOC141383310	3	1	196851	0.08483187975386737	35.36406370699612	1.5239953060944573	0.08588277560225936	42	223	-181	FALSE
fbxw4	1	1	65622	0.02827944797439832	35.361369178963834	1.523879186858066	1	219	224	-5	FALSE
pcdh2g1	1	13	66022	0.028451825823134404	35.147129263911495	1.5146466329405348	1	219	225	-6	FALSE
stx10	1	1	66701	0.02874443722136391	34.78934001382235	1.4992278976327191	1	219	226	-7	FALSE
b2m	1	NA	66822	0.028796581520606577	34.726344142078425	1.496513124420101	1	219	227	-8	FALSE
slc2a1b	1	NA	67014	0.028879322887999895	34.62685063213604	1.4922255051183335	1	219	228	-9	TRUE
car15	1	NA	67710	0.029179260344800683	34.27091667792002	1.476886722788362	1	219	229	-10	FALSE
nos1apb	1	1	67719	0.029183138846397245	34.266361999763205	1.476690441382773	1	219	230	-11	TRUE
LOC141377785	2	2	136540	0.0588411786660624	33.9898017908593	1.4647722279185587	0.693100631880748	81	231	-150	FALSE
LOC141380325	3	NA	206199	0.08886035007882964	33.760839309530574	1.4549052129253777	0.09665499559943878	42	232	-190	FALSE
LOC141386344	5	NA	344135	0.14830312743698099	33.71473067636196	1.4529181861769365	0.0011816331066141666	11	233	-222	FALSE
prlh2r	1	NA	68997	0.029733886073109034	33.63166178619309	1.4493383770308854	1	219	234	-15	FALSE
dnajb6b	1	NA	69298	0.029863600404282934	33.48558065545853	1.4430430892666455	1	219	235	-16	TRUE
frrs1b	1	NA	69458	0.02993255154377737	33.40844493452107	1.4397189668576695	1	219	236	-17	TRUE
gnrh2	1	1	70642	0.03044278997603618	32.84850044254076	1.415588460122873	1	219	237	-18	FALSE
LOC563292	1	NA	71066	0.03062551049569643	32.65251693161237	1.4071426561224778	1	219	238	-19	FALSE
LOC141378400	2	2	142270	0.061310491349206804	32.62084442625943	1.4057777465382721	0.7389793811825923	81	239	-158	FALSE
fto	2	3	142283	0.061316093629290726	32.61786395088612	1.4056493045550065	0.7389793811825923	81	240	-159	FALSE
six6a	1	1	71983	0.0310206867139239	32.23655263412146	1.3892168984343527	1	219	241	-22	TRUE
LOC141375389	1	NA	72155	0.031094809188880416	32.15970852001892	1.385905342665096	1	219	242	-23	FALSE
fxr1	1	1	72227	0.031125837201652913	32.12764988525018	1.3845237930413834	1	219	243	-24	FALSE
unc13a	1	1	72389	0.03119565023039103	32.05575112602695	1.3814253546809598	1	219	244	-25	TRUE
LOC141378375	1	NA	72500	0.03124348508341529	32.006672665682274	1.3793103448275863	1	219	245	-26	FALSE
LOC137496366	2	NA	145364	0.06264383400918042	31.92652607608438	1.3758564706529814	0.764335024556358	81	246	-165	FALSE
LOC141386343	4	NA	292331	0.1259784722471707	31.751456646910036	1.3683119477578498	0.014636703952810864	20	247	-227	FALSE
ccdc142	2	NA	146815	0.06326913465547057	31.61099027023076	1.3622586247999182	0.7730112483648808	81	248	-167	FALSE
LOC141376438	1	NA	73666	0.031745966512480975	31.50006472812376	1.3574783482203459	1	219	249	-30	FALSE
katnal1	1	NA	73894	0.03184422188626054	31.40287125154904	1.3532898476195632	1	219	250	-31	FALSE
