set	gene	domain_width	observed	expected	obs_exp	per_100kb	p_binom	fdr	ohnologue_stem	is_ohnologue
actinopterygii	ryr2b	184111	0	0.2318294924813168	0	0	1	1	ryr2	TRUE
actinopterygii	ryr3	48284	0	0.0607984053911385	0	0	1	1	NA	FALSE
gnathostomata	pcdh10a	343479	6	1.5327757645897637	3.9144669028648535	1.746831684033085	0.004933456756457871	0.27210291414038607	pcdh10	TRUE
gnathostomata	pcdh10b	190071	12	0.848192239849717	14.147736133646028	6.313430244487587	1.3194021035395543e-10	7.607120221151774e-8	pcdh10	TRUE
gnathostomata	pcdh11	414066	1	1.8477704015110825	0.5411927797859588	0.24150739254128573	0.8424336807658822	1	NA	FALSE
gnathostomata	pcdh12	50874	0	0.22702533269207037	0	0	1	1	NA	FALSE
gnathostomata	pcdh15a	60309	0	0.2691290401644469	0	0	1	1	pcdh15	TRUE
gnathostomata	pcdh15b	410315	2	1.831031556070819	1.0922804652759603	0.48743038884759265	0.5463504550879943	1	pcdh15	TRUE
gnathostomata	pcdh17	72854	0	0.3251111292201929	0	0	1	1	NA	FALSE
gnathostomata	pcdh18a	625463	3	2.7911299615045095	1.0748335052026394	0.4796446792216326	0.528450638997026	1	pcdh18	TRUE
gnathostomata	pcdh18b	204737	1	0.9136392958952788	1.0945238503780597	0.48843149992429313	0.5989515913599261	1	pcdh18	TRUE
gnathostomata	pcdh19	255207	4	1.1388617777321461	3.512278731458821	1.56735512740638	0.028701324011227318	0.9473202412297433	NA	FALSE
gnathostomata	pcdh1a	256140	0	1.1430252922071569	0	0	1	1	pcdh1	TRUE
gnathostomata	pcdh1a3	11070	0	0.0493998984334084	0	0	1	1	NA	FALSE
gnathostomata	pcdh1a4	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh1a6	71229	1	0.31785956328032944	3.1460434591929247	1.4039225596316107	0.2722980030674808	1	NA	FALSE
gnathostomata	pcdh1b	435444	0	1.943169771764868	0	0	1	1	pcdh1	TRUE
gnathostomata	pcdh1g1	71229	1	0.31785956328032944	3.1460434591929247	1.4039225596316107	0.2722980030674808	1	NA	FALSE
gnathostomata	pcdh1g11	10610	0	0.04734714745966243	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g18	46037	0	0.20544020995291984	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g2	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g26	46037	0	0.20544020995291984	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g29	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g3	11315	0	0.05049321145203397	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g30	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g31	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g32	34679	0	0.1547551109098618	0	0	1	1	NA	FALSE
gnathostomata	pcdh1g9	14853	0	0.06628154394141057	0	0	1	1	NA	FALSE
gnathostomata	pcdh1gb2	19422	0	0.08667071611324824	0	0	1	1	NA	FALSE
gnathostomata	pcdh1gb9	22374	0	0.09984402236215713	0	0	1	1	NA	FALSE
gnathostomata	pcdh1gc5	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh1gc6	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh20	226124	0	1.0090788286681158	0	0	1	1	NA	FALSE
gnathostomata	pcdh20l	344099	1	1.535542515902204	0.6512356314748163	0.290614038401739	0.7846817508244168	1	NA	FALSE
gnathostomata	pcdh2aa1	20778	0	0.092721868983682	0	0	1	1	NA	FALSE
gnathostomata	pcdh2aa15	6560	0	0.029274013886464237	0	0	1	1	NA	FALSE
gnathostomata	pcdh2aa3	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab10	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab12	26153	0	0.11670781786169195	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab2	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab3	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab5	6621	0	0.029546226515591422	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab7	6621	0	0.029546226515591422	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ab9	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2ac	86175	0	0.38455611991860605	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g1	66022	0	0.29462331475794845	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g12	17814	0	0.07949501270937102	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g13	27866	0	0.12435208398783726	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g16	27866	0	0.12435208398783726	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g17	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g2	12230	0	0.05457640088894171	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g28	6337	0	0.028278875914409123	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g29	21031	0	0.09385088201924228	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g3	12230	0	0.05457640088894171	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g5	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g6	9228	0	0.04117996953419085	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g7	13716	0	0.061207679034564554	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g8	10488	0	0.04680272220140807	0	0	1	1	NA	FALSE
gnathostomata	pcdh2g9	17814	0	0.07949501270937102	0	0	1	1	NA	FALSE
gnathostomata	pcdh7a	125951	7	0.5620566041179965	12.454261632571157	5.557716889901629	2.1511862186638706e-6	5.031340446520253e-4	pcdh7	TRUE
gnathostomata	pcdh7b	328738	3	1.466994020885439	2.044998109937271	0.9125808394526947	0.1829068447810546	1	pcdh7	TRUE
gnathostomata	pcdh8	34985	0	0.15612063655761452	0	0	1	1	NA	FALSE
gnathostomata	pcdh9	74637	0	0.33306777049451697	0	0	1	1	NA	FALSE
gnathostomata	pcdha8l	6000	0	0.026775012701034367	0	0	1	1	NA	FALSE
gnathostomata	pcdhb	32051	0	0.14302765534680872	0	0	1	1	pcdh	TRUE
gnathostomata	ryr1a	133940	0	0.5977075335294239	0	0	1	1	ryr1	TRUE
gnathostomata	ryr1b	272781	1	1.2172857899334757	0.8214997729125301	0.36659444756049725	0.7039852124192288	1	ryr1	TRUE
gnathostomata	ryr2a	194184	0	0.8665465110562761	0	0	1	1	ryr2	TRUE
gnathostomata	ryr2b	184111	0	0.8215957272333563	0	0	1	1	ryr2	TRUE
gnathostomata	ryr3	48284	0	0.21546745220945723	0	0	1	1	NA	FALSE
