set	seqnames	start	end	width	strand	phastcons
sarcopterygii	NC_000001.11	108023710	108023790	81	*	16
sarcopterygii	NC_000001.11	148165654	148165785	132	*	17
sarcopterygii	NC_000001.11	148166210	148166302	93	*	25
sarcopterygii	NC_000001.11	154239218	154239330	113	*	24
sarcopterygii	NC_000001.11	164626919	164627256	338	*	45
sarcopterygii	NC_000001.11	164689093	164689242	150	*	28
sarcopterygii	NC_000001.11	164723675	164723782	108	*	24
sarcopterygii	NC_000001.11	164836713	164836798	86	*	15
sarcopterygii	NC_000001.11	180299423	180299585	163	*	17
sarcopterygii	NC_000001.11	181781206	181781323	118	*	19
sarcopterygii	NC_000001.11	185306853	185306919	67	*	15
sarcopterygii	NC_000001.11	198936757	198936821	65	*	15
sarcopterygii	NC_000001.11	199955379	199955601	223	*	28
sarcopterygii	NC_000001.11	200116917	200116998	82	*	15
sarcopterygii	NC_000001.11	200490445	200490544	100	*	16
sarcopterygii	NC_000001.11	208035659	208035739	81	*	25
sarcopterygii	NC_000001.11	210858290	210858357	68	*	16
sarcopterygii	NC_000001.11	210861759	210861875	117	*	19
sarcopterygii	NC_000001.11	213796541	213796587	47	*	15
sarcopterygii	NC_000001.11	214009316	214009375	60	*	16
sarcopterygii	NC_000001.11	214027588	214027814	227	*	27
sarcopterygii	NC_000001.11	215592917	215593015	99	*	15
sarcopterygii	NC_000001.11	215716350	215716459	110	*	35
sarcopterygii	NC_000001.11	215792219	215792262	44	*	14
sarcopterygii	NC_000001.11	215845168	215845319	152	*	32
sarcopterygii	NC_000001.11	215964253	215964288	36	*	15
sarcopterygii	NC_000001.11	216071460	216071589	130	*	15
sarcopterygii	NC_000001.11	216218551	216218657	107	*	19
sarcopterygii	NC_000001.11	216725289	216725368	80	*	23
sarcopterygii	NC_000001.11	217270387	217270422	36	*	16
sarcopterygii	NC_000001.11	217667874	217668056	183	*	32
sarcopterygii	NC_000001.11	217770836	217770905	70	*	15
sarcopterygii	NC_000001.11	218049567	218049666	100	*	30
sarcopterygii	NC_000001.11	221030397	221030469	73	*	17
sarcopterygii	NC_000001.11	221239627	221239695	69	*	16
sarcopterygii	NC_000001.11	221394250	221394325	76	*	24
sarcopterygii	NC_000001.11	221709150	221709211	62	*	18
sarcopterygii	NC_000001.11	246799731	246799759	29	*	14
sarcopterygii	NC_000002.12	5573347	5573393	47	*	18
sarcopterygii	NC_000002.12	6535711	6535831	121	*	16
sarcopterygii	NC_000002.12	11196730	11196865	136	*	16
sarcopterygii	NC_000002.12	38203235	38203344	110	*	21
sarcopterygii	NC_000002.12	45165005	45165101	97	*	32
sarcopterygii	NC_000002.12	50620882	50620921	40	*	14
sarcopterygii	NC_000002.12	50621766	50621891	126	*	32
sarcopterygii	NC_000002.12	58124314	58124426	113	*	16
sarcopterygii	NC_000002.12	59194999	59195048	50	*	14
sarcopterygii	NC_000002.12	59294929	59295006	78	*	20
sarcopterygii	NC_000002.12	59530482	59530572	91	*	20
sarcopterygii	NC_000002.12	59922712	59922797	86	*	18
sarcopterygii	NC_000002.12	60126047	60126180	134	*	21
sarcopterygii	NC_000002.12	60306390	60306449	60	*	19
sarcopterygii	NC_000002.12	60488359	60488501	143	*	16
sarcopterygii	NC_000002.12	60568418	60568512	95	*	15
sarcopterygii	NC_000002.12	62993157	62993202	46	*	15
sarcopterygii	NC_000002.12	63008261	63008312	52	*	15
sarcopterygii	NC_000002.12	63008949	63009121	173	*	33
sarcopterygii	NC_000002.12	63013041	63013089	49	*	14
sarcopterygii	NC_000002.12	66000047	66000116	70	*	15
sarcopterygii	NC_000002.12	66363051	66363156	106	*	17
sarcopterygii	NC_000002.12	66444767	66444916	150	*	47
sarcopterygii	NC_000002.12	66507991	66508057	67	*	18
sarcopterygii	NC_000002.12	66523164	66523326	163	*	45
sarcopterygii	NC_000002.12	66537347	66537438	92	*	21
sarcopterygii	NC_000002.12	66692151	66692384	234	*	43
sarcopterygii	NC_000002.12	67165025	67165407	383	*	47
sarcopterygii	NC_000002.12	67318938	67319035	98	*	17
sarcopterygii	NC_000002.12	67497779	67497874	96	*	18
sarcopterygii	NC_000002.12	68871598	68871662	65	*	14
sarcopterygii	NC_000002.12	72334081	72334163	83	*	17
sarcopterygii	NC_000002.12	72335346	72335455	110	*	18
sarcopterygii	NC_000002.12	104749200	104749261	62	*	17
sarcopterygii	NC_000002.12	112652866	112652956	91	*	19
sarcopterygii	NC_000002.12	118622062	118622458	397	*	51
sarcopterygii	NC_000002.12	120887714	120887841	128	*	16
sarcopterygii	NC_000002.12	132779484	132779566	83	*	14
sarcopterygii	NC_000002.12	136199502	136199599	98	*	15
sarcopterygii	NC_000002.12	138293389	138293473	85	*	25
sarcopterygii	NC_000002.12	143333965	143334073	109	*	23
sarcopterygii	NC_000002.12	143683139	143683202	64	*	18
sarcopterygii	NC_000002.12	143906830	143906881	52	*	17
sarcopterygii	NC_000002.12	144397301	144397433	133	*	17
sarcopterygii	NC_000002.12	144582679	144582735	57	*	18
sarcopterygii	NC_000002.12	145108726	145108768	43	*	21
sarcopterygii	NC_000002.12	145158090	145158146	57	*	15
sarcopterygii	NC_000002.12	145245264	145245366	103	*	15
sarcopterygii	NC_000002.12	145251883	145252003	121	*	25
sarcopterygii	NC_000002.12	145584369	145584588	220	*	22
sarcopterygii	NC_000002.12	146327752	146327845	94	*	17
sarcopterygii	NC_000002.12	146441010	146441060	51	*	21
sarcopterygii	NC_000002.12	146503521	146503697	177	*	30
sarcopterygii	NC_000002.12	155654082	155654116	35	*	14
sarcopterygii	NC_000002.12	156156619	156156655	37	*	14
sarcopterygii	NC_000002.12	156562229	156562460	232	*	42
sarcopterygii	NC_000002.12	156597996	156598125	130	*	38
sarcopterygii	NC_000002.12	156735726	156735902	177	*	17
sarcopterygii	NC_000002.12	157005651	157005824	174	*	24
sarcopterygii	NC_000002.12	159618121	159618188	68	*	19
sarcopterygii	NC_000002.12	163325277	163325361	85	*	26
sarcopterygii	NC_000002.12	163463234	163463360	127	*	18
sarcopterygii	NC_000002.12	170468015	170468161	147	*	26
sarcopterygii	NC_000002.12	170597988	170598141	154	*	16
sarcopterygii	NC_000002.12	171722212	171722293	82	*	18
sarcopterygii	NC_000002.12	171965962	171966014	53	*	16
sarcopterygii	NC_000002.12	174122240	174122476	237	*	53
sarcopterygii	NC_000002.12	175079414	175079462	49	*	15
sarcopterygii	NC_000002.12	175402550	175402592	43	*	15
sarcopterygii	NC_000002.12	176107189	176107239	51	*	23
sarcopterygii	NC_000002.12	176743715	176743864	150	*	29
sarcopterygii	NC_000002.12	176813577	176813718	142	*	26
sarcopterygii	NC_000002.12	176852024	176852173	150	*	23
sarcopterygii	NC_000002.12	176852246	176852394	149	*	23
sarcopterygii	NC_000002.12	176977432	176977566	135	*	18
sarcopterygii	NC_000002.12	181341551	181341665	115	*	19
sarcopterygii	NC_000002.12	181517783	181518009	227	*	30
sarcopterygii	NC_000002.12	185546169	185546206	38	*	14
sarcopterygii	NC_000002.12	190919588	190919723	136	*	35
sarcopterygii	NC_000002.12	195994663	195994774	112	*	24
sarcopterygii	NC_000002.12	195995342	195995448	107	*	15
sarcopterygii	NC_000002.12	202199469	202199542	74	*	19
sarcopterygii	NC_000002.12	205312702	205312750	49	*	16
sarcopterygii	NC_000002.12	209180744	209180800	57	*	14
sarcopterygii	NC_000002.12	209180886	209180922	37	*	14
sarcopterygii	NC_000002.12	226744187	226744249	63	*	18
sarcopterygii	NC_000002.12	226781595	226781697	103	*	15
sarcopterygii	NC_000002.12	235858865	235859184	320	*	71
sarcopterygii	NC_000002.12	235898172	235898274	103	*	25
sarcopterygii	NC_000002.12	236015057	236015141	85	*	19
sarcopterygii	NC_000003.12	18376677	18376864	188	*	57
sarcopterygii	NC_000003.12	18539207	18539383	177	*	20
sarcopterygii	NC_000003.12	24899976	24900159	184	*	30
sarcopterygii	NC_000003.12	25088385	25088639	255	*	28
sarcopterygii	NC_000003.12	43037623	43037694	72	*	15
sarcopterygii	NC_000003.12	44710168	44710247	80	*	21
sarcopterygii	NC_000003.12	52373653	52373743	91	*	16
sarcopterygii	NC_000003.12	55515876	55516061	186	*	28
sarcopterygii	NC_000003.12	56173714	56173779	66	*	18
sarcopterygii	NC_000003.12	57200422	57200484	63	*	14
sarcopterygii	NC_000003.12	58841957	58842087	131	*	15
sarcopterygii	NC_000003.12	62256746	62256823	78	*	15
sarcopterygii	NC_000003.12	62415177	62415227	51	*	20
sarcopterygii	NC_000003.12	68315600	68315687	88	*	17
sarcopterygii	NC_000003.12	69122654	69122701	48	*	15
sarcopterygii	NC_000003.12	69888212	69888292	81	*	17
sarcopterygii	NC_000003.12	69936378	69936449	72	*	20
sarcopterygii	NC_000003.12	70825233	70825361	129	*	17
sarcopterygii	NC_000003.12	70960456	70960497	42	*	15
sarcopterygii	NC_000003.12	70965327	70965445	119	*	37
sarcopterygii	NC_000003.12	71043265	71043378	114	*	35
sarcopterygii	NC_000003.12	71050161	71050297	137	*	16
sarcopterygii	NC_000003.12	71060338	71060418	81	*	22
sarcopterygii	NC_000003.12	71061182	71061269	88	*	16
sarcopterygii	NC_000003.12	71128984	71129085	102	*	17
sarcopterygii	NC_000003.12	71208922	71208954	33	*	17
sarcopterygii	NC_000003.12	71308052	71308102	51	*	14
sarcopterygii	NC_000003.12	77549680	77549770	91	*	15
sarcopterygii	NC_000003.12	78614037	78614093	57	*	17
sarcopterygii	NC_000003.12	85535119	85535239	121	*	17
sarcopterygii	NC_000003.12	99876705	99876790	86	*	22
sarcopterygii	NC_000003.12	127404293	127404454	162	*	22
sarcopterygii	NC_000003.12	143627441	143627529	89	*	15
sarcopterygii	NC_000003.12	147240339	147240519	181	*	19
sarcopterygii	NC_000003.12	147615190	147615290	101	*	24
sarcopterygii	NC_000003.12	148036337	148036421	85	*	26
sarcopterygii	NC_000003.12	148036557	148036662	106	*	21
sarcopterygii	NC_000003.12	158059162	158059191	30	*	14
sarcopterygii	NC_000003.12	158186570	158186699	130	*	20
sarcopterygii	NC_000003.12	169103939	169103996	58	*	16
sarcopterygii	NC_000003.12	169147567	169147614	48	*	15
sarcopterygii	NC_000003.12	169297333	169297480	148	*	25
sarcopterygii	NC_000003.12	169400412	169400661	250	*	28
sarcopterygii	NC_000003.12	169430797	169430898	102	*	15
sarcopterygii	NC_000003.12	169574299	169574370	72	*	28
sarcopterygii	NC_000003.12	169595618	169595769	152	*	23
sarcopterygii	NC_000003.12	181020263	181020463	201	*	26
sarcopterygii	NC_000003.12	181328465	181328504	40	*	18
sarcopterygii	NC_000003.12	182509471	182509572	102	*	26
sarcopterygii	NC_000004.12	1612227	1612293	67	*	15
sarcopterygii	NC_000004.12	13243609	13243670	62	*	15
sarcopterygii	NC_000004.12	13476982	13477078	97	*	17
sarcopterygii	NC_000004.12	16360086	16360175	90	*	18
sarcopterygii	NC_000004.12	23876554	23876596	43	*	15
sarcopterygii	NC_000004.12	24539066	24539093	28	*	19
sarcopterygii	NC_000004.12	37805751	37805861	111	*	25
sarcopterygii	NC_000004.12	41750127	41750214	88	*	21
sarcopterygii	NC_000004.12	41859067	41859118	52	*	15
sarcopterygii	NC_000004.12	54002092	54002236	145	*	20
sarcopterygii	NC_000004.12	54013512	54013575	64	*	18
sarcopterygii	NC_000004.12	54095641	54095685	45	*	14
sarcopterygii	NC_000004.12	54109513	54109601	89	*	18
sarcopterygii	NC_000004.12	61681261	61681323	63	*	14
sarcopterygii	NC_000004.12	68321849	68321941	93	*	24
sarcopterygii	NC_000004.12	79958460	79958495	36	*	14
sarcopterygii	NC_000004.12	83809684	83809760	77	*	15
sarcopterygii	NC_000004.12	84051752	84051813	62	*	17
sarcopterygii	NC_000004.12	95222487	95222634	148	*	27
sarcopterygii	NC_000004.12	95379213	95379325	113	*	17
sarcopterygii	NC_000004.12	97215748	97215841	94	*	16
sarcopterygii	NC_000004.12	108141269	108141372	104	*	32
sarcopterygii	NC_000004.12	108200373	108200473	101	*	15
sarcopterygii	NC_000004.12	111520100	111520154	55	*	17
sarcopterygii	NC_000004.12	118488197	118488238	42	*	19
sarcopterygii	NC_000004.12	118514371	118514407	37	*	14
sarcopterygii	NC_000004.12	118515042	118515100	59	*	15
sarcopterygii	NC_000004.12	125346598	125346659	62	*	15
sarcopterygii	NC_000004.12	126182501	126182603	103	*	16
sarcopterygii	NC_000004.12	137534268	137534323	56	*	14
sarcopterygii	NC_000004.12	145883198	145883312	115	*	19
sarcopterygii	NC_000004.12	146263917	146264175	259	*	41
sarcopterygii	NC_000004.12	150355985	150356143	159	*	19
sarcopterygii	NC_000004.12	150367614	150367687	74	*	28
sarcopterygii	NC_000004.12	150766768	150766925	158	*	18
sarcopterygii	NC_000004.12	150796016	150796055	40	*	16
sarcopterygii	NC_000004.12	159343954	159343981	28	*	15
sarcopterygii	NC_000004.12	182347340	182347547	208	*	40
sarcopterygii	NC_000004.12	182705121	182705180	60	*	15
sarcopterygii	NC_000004.12	183241885	183242017	133	*	18
sarcopterygii	NC_000005.10	1729216	1729263	48	*	16
sarcopterygii	NC_000005.10	3232069	3232195	127	*	26
sarcopterygii	NC_000005.10	3598245	3598379	135	*	17
sarcopterygii	NC_000005.10	4039234	4039270	37	*	17
sarcopterygii	NC_000005.10	4418130	4418344	215	*	29
sarcopterygii	NC_000005.10	32523360	32523400	41	*	15
sarcopterygii	NC_000005.10	51095911	51095964	54	*	15
sarcopterygii	NC_000005.10	51173203	51173242	40	*	15
sarcopterygii	NC_000005.10	51838585	51838667	83	*	19
sarcopterygii	NC_000005.10	51917813	51918063	251	*	42
sarcopterygii	NC_000005.10	51998003	51998042	40	*	14
sarcopterygii	NC_000005.10	52580687	52580721	35	*	14
sarcopterygii	NC_000005.10	54214876	54214939	64	*	33
sarcopterygii	NC_000005.10	65272081	65272144	64	*	16
sarcopterygii	NC_000005.10	71756044	71756105	62	*	16
sarcopterygii	NC_000005.10	76079138	76079200	63	*	15
sarcopterygii	NC_000005.10	77595636	77595805	170	*	49
sarcopterygii	NC_000005.10	77639991	77640077	87	*	20
sarcopterygii	NC_000005.10	78003829	78003899	71	*	28
sarcopterygii	NC_000005.10	87872990	87873050	61	*	19
sarcopterygii	NC_000005.10	87944813	87944854	42	*	24
sarcopterygii	NC_000005.10	88760214	88760286	73	*	19
sarcopterygii	NC_000005.10	88786181	88786318	138	*	56
sarcopterygii	NC_000005.10	91538362	91538461	100	*	23
sarcopterygii	NC_000005.10	92113031	92113113	83	*	15
sarcopterygii	NC_000005.10	92640595	92640683	89	*	24
sarcopterygii	NC_000005.10	92880401	92880483	83	*	21
sarcopterygii	NC_000005.10	92908027	92908207	181	*	25
sarcopterygii	NC_000005.10	107437975	107438133	159	*	45
sarcopterygii	NC_000005.10	107570470	107570571	102	*	18
sarcopterygii	NC_000005.10	107574531	107574621	91	*	16
sarcopterygii	NC_000005.10	110950531	110950681	151	*	20
sarcopterygii	NC_000005.10	117262300	117262390	91	*	15
sarcopterygii	NC_000005.10	123094747	123094806	60	*	15
sarcopterygii	NC_000005.10	124659885	124660057	173	*	22
sarcopterygii	NC_000005.10	125236276	125236348	73	*	17
sarcopterygii	NC_000005.10	139495513	139495594	82	*	16
sarcopterygii	NC_000005.10	157817606	157817660	55	*	15
sarcopterygii	NC_000005.10	158677154	158677238	85	*	15
sarcopterygii	NC_000005.10	158732563	158732681	119	*	21
sarcopterygii	NC_000005.10	167836218	167836298	81	*	18
sarcopterygii	NC_000005.10	168845193	168845246	54	*	19
sarcopterygii	NC_000005.10	174659635	174659731	97	*	19
sarcopterygii	NC_000006.12	1512823	1512998	176	*	20
sarcopterygii	NC_000006.12	1884434	1884466	33	*	18
sarcopterygii	NC_000006.12	2559589	2559618	30	*	14
sarcopterygii	NC_000006.12	8278775	8278888	114	*	21
sarcopterygii	NC_000006.12	8359330	8359395	66	*	17
sarcopterygii	NC_000006.12	8469371	8469460	90	*	17
sarcopterygii	NC_000006.12	9096143	9096191	49	*	17
sarcopterygii	NC_000006.12	9938758	9939018	261	*	44
sarcopterygii	NC_000006.12	17285443	17285486	44	*	18
sarcopterygii	NC_000006.12	20955203	20955280	78	*	20
sarcopterygii	NC_000006.12	21148097	21148190	94	*	15
sarcopterygii	NC_000006.12	44856416	44856509	94	*	19
sarcopterygii	NC_000006.12	50585218	50585407	190	*	47
sarcopterygii	NC_000006.12	50712630	50712690	61	*	17
sarcopterygii	NC_000006.12	50717868	50717926	59	*	15
sarcopterygii	NC_000006.12	51409518	51409563	46	*	15
sarcopterygii	NC_000006.12	51843036	51843105	70	*	26
sarcopterygii	NC_000006.12	51929971	51930008	38	*	14
sarcopterygii	NC_000006.12	55713704	55713796	93	*	18
sarcopterygii	NC_000006.12	56541529	56541575	47	*	17
sarcopterygii	NC_000006.12	61679262	61679307	46	*	14
sarcopterygii	NC_000006.12	84635295	84635331	37	*	14
sarcopterygii	NC_000006.12	90219202	90219343	142	*	21
sarcopterygii	NC_000006.12	90536739	90536779	41	*	16
sarcopterygii	NC_000006.12	92778083	92778183	101	*	17
sarcopterygii	NC_000006.12	97128789	97128864	76	*	18
sarcopterygii	NC_000006.12	97656412	97656553	142	*	29
sarcopterygii	NC_000006.12	98843943	98844207	265	*	67
sarcopterygii	NC_000006.12	99646425	99646494	70	*	17
sarcopterygii	NC_000006.12	106027106	106027197	92	*	17
sarcopterygii	NC_000006.12	108227364	108227415	52	*	15
sarcopterygii	NC_000006.12	108363917	108363961	45	*	14
sarcopterygii	NC_000006.12	113223116	113223183	68	*	17
sarcopterygii	NC_000006.12	113223280	113223379	100	*	17
sarcopterygii	NC_000006.12	116994457	116994511	55	*	17
sarcopterygii	NC_000006.12	116994747	116994823	77	*	24
sarcopterygii	NC_000006.12	125766810	125766863	54	*	14
sarcopterygii	NC_000006.12	128100058	128100092	35	*	14
sarcopterygii	NC_000006.12	128206861	128206968	108	*	20
sarcopterygii	NC_000006.12	131611577	131611622	46	*	16
sarcopterygii	NC_000006.12	137315409	137315570	162	*	26
sarcopterygii	NC_000006.12	156918411	156918486	76	*	18
sarcopterygii	NC_000006.12	170293470	170293505	36	*	15
sarcopterygii	NC_000007.14	2659943	2660004	62	*	15
sarcopterygii	NC_000007.14	8982713	8982769	57	*	15
sarcopterygii	NC_000007.14	9352899	9353095	197	*	26
sarcopterygii	NC_000007.14	13743298	13743381	84	*	16
sarcopterygii	NC_000007.14	16002478	16002536	59	*	16
sarcopterygii	NC_000007.14	18643621	18643841	221	*	54
sarcopterygii	NC_000007.14	19095174	19095298	125	*	25
sarcopterygii	NC_000007.14	19337004	19337135	132	*	23
sarcopterygii	NC_000007.14	26843056	26843189	134	*	40
sarcopterygii	NC_000007.14	27101737	27101857	121	*	16
sarcopterygii	NC_000007.14	27133173	27133218	46	*	19
sarcopterygii	NC_000007.14	27161396	27161515	120	*	25
sarcopterygii	NC_000007.14	27252710	27252754	45	*	21
sarcopterygii	NC_000007.14	34059246	34059353	108	*	15
sarcopterygii	NC_000007.14	35319821	35319888	68	*	15
sarcopterygii	NC_000007.14	35419345	35419441	97	*	17
sarcopterygii	NC_000007.14	35466065	35466160	96	*	20
sarcopterygii	NC_000007.14	38977758	38977817	60	*	19
sarcopterygii	NC_000007.14	39125898	39125925	28	*	14
sarcopterygii	NC_000007.14	39208852	39208927	76	*	20
sarcopterygii	NC_000007.14	42027564	42027870	307	*	22
sarcopterygii	NC_000007.14	42151387	42151433	47	*	14
sarcopterygii	NC_000007.14	48902461	48902508	48	*	14
sarcopterygii	NC_000007.14	56995959	56996041	83	*	16
sarcopterygii	NC_000007.14	63580908	63580990	83	*	16
sarcopterygii	NC_000007.14	69960194	69960359	166	*	20
sarcopterygii	NC_000007.14	70384188	70384350	163	*	16
sarcopterygii	NC_000007.14	70432994	70433076	83	*	16
sarcopterygii	NC_000007.14	70507995	70508093	99	*	24
sarcopterygii	NC_000007.14	70631141	70631257	117	*	17
sarcopterygii	NC_000007.14	86217604	86217683	80	*	16
sarcopterygii	NC_000007.14	96809419	96809571	153	*	28
sarcopterygii	NC_000007.14	96992091	96992220	130	*	22
sarcopterygii	NC_000007.14	108994588	108994708	121	*	22
sarcopterygii	NC_000007.14	114534005	114534084	80	*	15
sarcopterygii	NC_000007.14	114619925	114619963	39	*	17
sarcopterygii	NC_000007.14	114631081	114631134	54	*	18
sarcopterygii	NC_000007.14	114657129	114657209	81	*	24
sarcopterygii	NC_000007.14	114665681	114665898	218	*	33
sarcopterygii	NC_000007.14	115299647	115299737	91	*	16
sarcopterygii	NC_000007.14	115549940	115550250	311	*	68
sarcopterygii	NC_000007.14	115600576	115600718	143	*	33
sarcopterygii	NC_000007.14	115673718	115673765	48	*	18
sarcopterygii	NC_000007.14	115674255	115674303	49	*	14
sarcopterygii	NC_000007.14	115709710	115709840	131	*	26
sarcopterygii	NC_000007.14	115783375	115783440	66	*	14
sarcopterygii	NC_000007.14	131830680	131830750	71	*	15
sarcopterygii	NC_000007.14	132133688	132133793	106	*	20
sarcopterygii	NC_000007.14	135129138	135129196	59	*	15
sarcopterygii	NC_000007.14	141072523	141072634	112	*	19
sarcopterygii	NC_000007.14	149320925	149321279	355	*	21
sarcopterygii	NC_000007.14	155510215	155510256	42	*	16
sarcopterygii	NC_000007.14	155718583	155718658	76	*	18
sarcopterygii	NC_000007.14	156399729	156399861	133	*	17
sarcopterygii	NC_000007.14	157197924	157198144	221	*	19
sarcopterygii	NC_000007.14	157578190	157578289	100	*	24
sarcopterygii	NC_000008.11	25909440	25909506	67	*	17
sarcopterygii	NC_000008.11	27064284	27064334	51	*	19
sarcopterygii	NC_000008.11	37675319	37675395	77	*	17
sarcopterygii	NC_000008.11	48380107	48380211	105	*	17
sarcopterygii	NC_000008.11	52770820	52770852	33	*	14
sarcopterygii	NC_000008.11	56209476	56209591	116	*	24
sarcopterygii	NC_000008.11	58958376	58958471	96	*	23
sarcopterygii	NC_000008.11	59968039	59968202	164	*	18
sarcopterygii	NC_000008.11	64895374	64895574	201	*	40
sarcopterygii	NC_000008.11	65449949	65449976	28	*	14
sarcopterygii	NC_000008.11	71243848	71243930	83	*	24
sarcopterygii	NC_000008.11	73490223	73490421	199	*	31
sarcopterygii	NC_000008.11	74603352	74603650	299	*	22
sarcopterygii	NC_000008.11	75724087	75724344	258	*	36
sarcopterygii	NC_000008.11	75971568	75971754	187	*	65
sarcopterygii	NC_000008.11	75978310	75978384	75	*	21
sarcopterygii	NC_000008.11	76119798	76119890	93	*	19
sarcopterygii	NC_000008.11	76122350	76122430	81	*	19
sarcopterygii	NC_000008.11	76583417	76583459	43	*	14
sarcopterygii	NC_000008.11	76664696	76664777	82	*	19
sarcopterygii	NC_000008.11	76727035	76727096	62	*	16
sarcopterygii	NC_000008.11	76840085	76840179	95	*	22
sarcopterygii	NC_000008.11	77619161	77619632	472	*	71
sarcopterygii	NC_000008.11	77865981	77866028	48	*	15
sarcopterygii	NC_000008.11	78009845	78009898	54	*	20
sarcopterygii	NC_000008.11	79739897	79739980	84	*	27
sarcopterygii	NC_000008.11	87788262	87788343	82	*	37
sarcopterygii	NC_000008.11	87789367	87789510	144	*	22
sarcopterygii	NC_000008.11	91813518	91813619	102	*	26
sarcopterygii	NC_000008.11	91841279	91841325	47	*	17
sarcopterygii	NC_000008.11	92225778	92225885	108	*	15
sarcopterygii	NC_000008.11	92371901	92372050	150	*	17
sarcopterygii	NC_000008.11	92648725	92648828	104	*	24
sarcopterygii	NC_000008.11	92693597	92693878	282	*	23
sarcopterygii	NC_000008.11	92804081	92804158	78	*	16
sarcopterygii	NC_000008.11	93393220	93393314	95	*	17
sarcopterygii	NC_000008.11	98681908	98682036	129	*	26
sarcopterygii	NC_000008.11	99499048	99499110	63	*	14
sarcopterygii	NC_000008.11	99704585	99704728	144	*	21
sarcopterygii	NC_000008.11	105091781	105091923	143	*	33
sarcopterygii	NC_000008.11	115507626	115507719	94	*	18
sarcopterygii	NC_000008.11	118111878	118111981	104	*	19
sarcopterygii	NC_000009.12	1032307	1032414	108	*	20
sarcopterygii	NC_000009.12	8500053	8500142	90	*	20
sarcopterygii	NC_000009.12	9921079	9921111	33	*	16
sarcopterygii	NC_000009.12	9921194	9921264	71	*	16
sarcopterygii	NC_000009.12	10534916	10535016	101	*	19
sarcopterygii	NC_000009.12	15035871	15035961	91	*	22
sarcopterygii	NC_000009.12	16430560	16430682	123	*	17
