seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm_mean	z_fpkm_first	n_active_samples	n_samples	is_active	activity_measured	dist_to_tss_signed
NC_133176.1	425010	425066	57	*	15	Promoter (2-3kb)	2	422124	427659	5536	2	pcid2	NM_001007381.2	2593	gene-pcid2	38.200445	0.994678237730602	0.990461037712856	2	2	TRUE	TRUE	2621
NC_133176.1	516798	516846	49	*	20	Promoter (1-2kb)	2	515713	529658	13946	1	grk1a	XR_012402175.1	1085	gene-grk1a	0.1361045	-2.48087014118489	-2.43829327312449	2	2	TRUE	TRUE	1109
NC_133176.1	768459	768488	30	*	15	Promoter (1-2kb)	2	749355	769616	20262	2	ercc5	XM_003197605.7	1128	gene-ercc5	5.520707	-0.197975850778896	-0.177270408587601	2	2	TRUE	TRUE	1143
NC_133176.1	962799	962873	75	*	15	5' UTR	2	953799	966292	12494	2	adamts1	XM_021475923.3	3419	gene-adamts1	3.331639	-0.509541221963413	-0.519576912628367	2	2	TRUE	TRUE	3456
NC_133176.1	983118	983175	58	*	18	5' UTR	2	968736	1013664	44929	2	adamts5	XM_073947774.1	30489	gene-adamts5	0.677563	-1.49111756909727	-1.47378049186448	2	2	TRUE	TRUE	-16854
NC_133176.1	2232492	2232653	162	*	17	Intron (XM_073948887.1/runx1, intron 7 of 18)	2	2043818	2267823	224006	2	runx1	XM_073948887.1	35170	gene-runx1	0.414293	-1.7961877034685	-1.72841072587789	2	2	TRUE	TRUE	-27463
NC_133176.1	2787132	2787168	37	*	18	Promoter (2-3kb)	2	2786085	2789634	3550	2	oxgr1a.1	NM_001040383.1	2466	gene-oxgr1a.1	0.0412315	-Inf	-Inf	1	2	TRUE	TRUE	2484
NC_133176.1	4188354	4188422	69	*	19	Promoter (<=1kb)	2	4186155	4188815	2661	2	LOC141384368	XR_012405385.1	393	gene-LOC141384368	0.6065315	-1.57295477561837	-1.42431186489968	2	2	TRUE	TRUE	427
NC_133176.1	5089762	5090004	243	*	20	Intron (XR_012405394.1/LOC137495392, intron 2 of 3)	2	5033487	5148075	114589	1	LOC137495392	XR_012405394.1	56275	gene-LOC137495392	0	-Inf	-Inf	0	2	FALSE	TRUE	56396
NC_133176.1	5881548	5881612	65	*	34	Promoter (<=1kb)	2	5881097	5886335	5239	1	slitrk1	XM_005174629.5	451	gene-slitrk1	0.2781345	-2.05603511452117	-2.1743180972054	2	2	TRUE	TRUE	483
NC_133176.1	6683470	6683496	27	*	18	Distal Intergenic	2	6677580	6679349	1770	1	spry2	NM_001003842.2	5890	gene-spry2	30.3747115	0.853301876219968	0.861138077098387	2	2	TRUE	TRUE	8220
NC_133176.1	6683537	6683639	103	*	54	Distal Intergenic	2	6677580	6679349	1770	1	spry2	NM_001003842.2	5957	gene-spry2	30.3747115	0.853301876219968	0.861138077098387	2	2	TRUE	TRUE	8325
NC_133176.1	6712949	6713006	58	*	33	Promoter (2-3kb)	2	6712081	6715838	3758	2	LOC141384404	XR_012405400.1	2832	gene-LOC141384404	0.0511205	-Inf	-2.62449006512498	1	2	TRUE	TRUE	2861
NC_133176.1	6844783	6844870	88	*	19	Distal Intergenic	2	6851161	6856948	5788	2	mnx2b	NM_001009887.2	12078	gene-mnx2b	1.378929	-1.06474858438897	-1.17040999929764	2	2	TRUE	TRUE	12122
NC_133176.1	6856488	6856551	64	*	19	Promoter (<=1kb)	2	6851161	6856948	5788	2	mnx2b	NM_001009887.2	397	gene-mnx2b	1.378929	-1.06474858438897	-1.17040999929764	2	2	TRUE	TRUE	429
NC_133176.1	9094857	9094966	110	*	37	Promoter (<=1kb)	2	9081818	9095465	13648	2	arglu1b	NM_200162.1	499	gene-arglu1b	31.5819145	0.877213022151206	0.891115070287045	2	2	TRUE	TRUE	554
NC_133176.1	9095121	9095197	77	*	24	Promoter (<=1kb)	2	9081818	9095465	13648	2	arglu1b	NM_200162.1	268	gene-arglu1b	31.5819145	0.877213022151206	0.891115070287045	2	2	TRUE	TRUE	306
NC_133176.1	9112900	9112934	35	*	18	Distal Intergenic	2	9117899	9123709	5811	2	LOC141384475	XR_012405418.1	10775	gene-LOC141384475	0	-Inf	-Inf	0	2	FALSE	TRUE	10792
NC_133176.1	9164926	9164955	30	*	18	Distal Intergenic	2	9117899	9123709	5811	2	LOC141384475	XR_012405419.1	-41217	gene-LOC141384475	0	-Inf	-Inf	0	2	FALSE	TRUE	-41231
NC_133176.1	9177465	9177504	40	*	24	Distal Intergenic	2	9117899	9123709	5811	2	LOC141384475	XR_012405419.1	-53756	gene-LOC141384475	0	-Inf	-Inf	0	2	FALSE	TRUE	-53775
NC_133176.1	9186094	9186137	44	*	25	Distal Intergenic	2	9117899	9123709	5811	2	LOC141384475	XR_012405419.1	-62385	gene-LOC141384475	0	-Inf	-Inf	0	2	FALSE	TRUE	-62406
NC_133176.1	9211736	9211867	132	*	40	Intron (XR_012405427.1/LOC141384503, intron 2 of 2)	2	9194512	9272265	77754	2	LOC141384503	XR_012405427.1	60398	gene-LOC141384503	0	-Inf	-Inf	0	2	FALSE	TRUE	-38692
NC_133176.1	9227373	9227445	73	*	32	Intron (XR_012405427.1/LOC141384503, intron 2 of 2)	2	9194512	9272265	77754	2	LOC141384503	XR_012405427.1	44820	gene-LOC141384503	0	-Inf	-Inf	0	2	FALSE	TRUE	-23084
NC_133176.1	9263680	9263715	36	*	23	Intron (XR_012405427.1/LOC141384503, intron 2 of 2)	2	9194512	9272265	77754	2	LOC141384503	XR_012405427.1	8550	gene-LOC141384503	0	-Inf	-Inf	0	2	FALSE	TRUE	-3557
NC_133176.1	9264244	9264279	36	*	16	Intron (XR_012405427.1/LOC141384503, intron 2 of 2)	2	9194512	9272265	77754	2	LOC141384503	XR_012405427.1	7986	gene-LOC141384503	0	-Inf	-Inf	0	2	FALSE	TRUE	-4121
NC_133176.1	9556354	9556498	145	*	16	3' UTR	2	9556129	9569172	13044	2	fam83gb	XM_005170874.6	12674	gene-fam83gb	7.49361	-0.0105773088950343	-0.041073627369843	2	2	TRUE	TRUE	12746
NC_133176.1	9568307	9568345	39	*	23	Promoter (<=1kb)	2	9556129	9569172	13044	2	fam83gb	XM_005170874.6	827	gene-fam83gb	7.49361	-0.0105773088950343	-0.041073627369843	2	2	TRUE	TRUE	846
NC_133176.1	9941188	9941229	42	*	16	Promoter (<=1kb)	2	9940665	9949717	9053	1	alkbh5	XR_012402506.1	523	gene-alkbh5	14.5222825	0.398376084199663	0.393737086908957	2	2	TRUE	TRUE	543
NC_133176.1	9943650	9943706	57	*	19	Promoter (2-3kb)	2	9940665	9949717	9053	1	alkbh5	XR_012402506.1	2985	gene-alkbh5	14.5222825	0.398376084199663	0.393737086908957	2	2	TRUE	TRUE	3013
NC_133176.1	9967214	9967260	47	*	18	Promoter (<=1kb)	2	9966755	9972102	5348	1	smcr8b	NM_214802.1	459	gene-smcr8b	0.420939	-1.7880048511865	-1.83240250976695	2	2	TRUE	TRUE	482
NC_133176.1	9967301	9967362	62	*	27	Promoter (<=1kb)	2	9966755	9972102	5348	1	smcr8b	NM_214802.1	546	gene-smcr8b	0.420939	-1.7880048511865	-1.83240250976695	2	2	TRUE	TRUE	576
NC_133176.1	9967385	9967500	116	*	25	Promoter (<=1kb)	2	9966755	9972102	5348	1	smcr8b	NM_214802.1	630	gene-smcr8b	0.420939	-1.7880048511865	-1.83240250976695	2	2	TRUE	TRUE	687
NC_133176.1	10094811	10094840	30	*	20	Promoter (<=1kb)	2	10094640	10102642	8003	1	fscn1b	XM_021471104.3	171	gene-fscn1b	0.129833	-2.51013543348202	-2.50590340774677	2	2	TRUE	TRUE	185
NC_133176.1	10094885	10094920	36	*	16	Promoter (<=1kb)	2	10094640	10102642	8003	1	fscn1b	XM_021471104.3	245	gene-fscn1b	0.129833	-2.51013543348202	-2.50590340774677	2	2	TRUE	TRUE	262
NC_133176.1	10095185	10095222	38	*	15	Promoter (<=1kb)	2	10094640	10102642	8003	1	fscn1b	XM_021471104.3	545	gene-fscn1b	0.129833	-2.51013543348202	-2.50590340774677	2	2	TRUE	TRUE	563
NC_133176.1	10126619	10126701	83	*	38	Promoter (<=1kb)	2	10105211	10127351	22141	2	abcg2b	XM_068220601.2	650	gene-abcg2b	0.0450395	-3.17199136238784	-3.24913903788453	0	2	FALSE	TRUE	326
NC_133176.1	10134702	10134759	58	*	16	3' UTR	2	10126334	10134837	8504	1	hapstr1b	XR_012385554.1	8368	gene-hapstr1b	74.5181695	1.40657486424609	1.39352017429239	2	2	TRUE	TRUE	-7379
NC_133176.1	10565700	10565807	108	*	19	Promoter (<=1kb)	2	10565572	10566510	939	1	rasd3	NM_001079934.1	128	gene-rasd3	0.3801555	-1.85327390566309	-1.74694915548913	2	2	TRUE	TRUE	181
NC_133176.1	10565848	10565933	86	*	33	Promoter (<=1kb)	2	10565572	10566510	939	1	rasd3	NM_001079934.1	276	gene-rasd3	0.3801555	-1.85327390566309	-1.74694915548913	2	2	TRUE	TRUE	318
NC_133176.1	10705696	10705734	39	*	21	Intron (XM_073944530.1/uncx4.1, intron 2 of 3)	2	10696285	10712502	16218	1	uncx4.1	XM_073944530.1	9411	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-9321
NC_133176.1	10707953	10707983	31	*	14	Intron (XM_073944530.1/uncx4.1, intron 2 of 3)	2	10696285	10712502	16218	1	uncx4.1	XM_073944530.1	11668	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-11574
NC_133176.1	10708009	10708064	56	*	21	Intron (XM_073944530.1/uncx4.1, intron 2 of 3)	2	10696285	10712502	16218	1	uncx4.1	XM_073944530.1	11724	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-11642
NC_133176.1	10708391	10708507	117	*	39	Promoter (<=1kb)	2	10708490	10712487	3998	1	uncx4.1	NM_001020780.2	0	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-12055
NC_133176.1	10709645	10709733	89	*	34	5' UTR	2	10696285	10712502	16218	1	uncx4.1	XM_073944530.1	13360	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-13295
NC_133176.1	10712425	10712485	61	*	23	3' UTR	2	10696285	10712502	16218	1	uncx4.1	XM_073944530.1	16140	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-16061
NC_133176.1	10713470	10713657	188	*	82	Distal Intergenic	2	10708490	10712487	3998	1	uncx4.1	NM_001020780.2	4980	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-17169
NC_133176.1	10714444	10714585	142	*	73	Distal Intergenic	2	10708490	10712487	3998	1	uncx4.1	NM_001020780.2	5954	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-18120
NC_133176.1	10715697	10715750	54	*	16	Distal Intergenic	2	10708490	10712487	3998	1	uncx4.1	NM_001020780.2	7207	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-19329
NC_133176.1	10715770	10715851	82	*	33	Distal Intergenic	2	10708490	10712487	3998	1	uncx4.1	NM_001020780.2	7280	gene-uncx4.1	10.3175295	0.186368314552355	0.231414053929418	2	2	TRUE	TRUE	-19416
NC_133176.1	11524480	11524532	53	*	21	Promoter (<=1kb)	2	11523986	11529428	5443	1	lratb.2	NM_001135971.1	494	gene-lratb.2	0.3573065	-1.91679850413504	-1.69757018120882	2	2	TRUE	TRUE	520
NC_133176.1	11703518	11703570	53	*	17	Promoter (<=1kb)	2	11703177	11710194	7018	1	eif3f	NM_001200009.1	341	gene-eif3f	446.625846	2.51058449089373	2.49816336111504	2	2	TRUE	TRUE	367
NC_133176.1	11704702	11704756	55	*	27	Promoter (1-2kb)	2	11703177	11710194	7018	1	eif3f	NM_001200009.1	1525	gene-eif3f	446.625846	2.51058449089373	2.49816336111504	2	2	TRUE	TRUE	1552
NC_133176.1	11784357	11784458	102	*	40	Intron (XM_073952698.1/dachb, intron 3 of 13)	2	11752048	11856001	103954	1	dachb	XM_073952698.1	32309	gene-dachb	3.331252	-0.509295293126212	-0.504005687384221	2	2	TRUE	TRUE	-26346
NC_133176.1	13185407	13185474	68	*	16	Promoter (2-3kb)	2	13181040	13187560	6521	2	zmp:0000001069	XM_005159825.5	2086	gene-zmp:0000001069	0.0760065	-2.88802308856641	-2.61186850790519	1	2	TRUE	TRUE	2120
NC_133176.1	13186115	13186158	44	*	17	Promoter (1-2kb)	2	13181040	13187560	6521	2	zmp:0000001069	XM_005159825.5	1402	gene-zmp:0000001069	0.0760065	-2.88802308856641	-2.61186850790519	1	2	TRUE	TRUE	1424
NC_133176.1	14157122	14157165	44	*	15	Promoter (<=1kb)	2	14156545	14186171	29627	1	pcdh10a	XM_073953121.1	577	gene-pcdh10a	8.266191	0.050396326580874	0.0285896833865855	2	2	TRUE	TRUE	598
NC_133176.1	14157206	14157234	29	*	16	Promoter (<=1kb)	2	14156545	14186171	29627	1	pcdh10a	XM_073953121.1	661	gene-pcdh10a	8.266191	0.050396326580874	0.0285896833865855	2	2	TRUE	TRUE	675
NC_133176.1	14157299	14157378	80	*	27	Promoter (<=1kb)	2	14156545	14186171	29627	1	pcdh10a	XM_073953121.1	754	gene-pcdh10a	8.266191	0.050396326580874	0.0285896833865855	2	2	TRUE	TRUE	793
NC_133176.1	14157407	14157639	233	*	53	Promoter (<=1kb)	2	14156545	14186171	29627	1	pcdh10a	XM_073953121.1	862	gene-pcdh10a	8.266191	0.050396326580874	0.0285896833865855	2	2	TRUE	TRUE	978
NC_133176.1	14157776	14157804	29	*	14	Promoter (1-2kb)	2	14156545	14186171	29627	1	pcdh10a	XM_073953121.1	1231	gene-pcdh10a	8.266191	0.050396326580874	0.0285896833865855	2	2	TRUE	TRUE	1245
NC_133176.1	14158463	14158495	33	*	14	Promoter (1-2kb)	2	14156545	14186171	29627	1	pcdh10a	XM_073953121.1	1918	gene-pcdh10a	8.266191	0.050396326580874	0.0285896833865855	2	2	TRUE	TRUE	1934
NC_133176.1	14656535	14656623	89	*	22	3' UTR	2	14656193	14666177	9985	2	pcdh18a	XM_005159845.5	9554	gene-pcdh18a	9.4330445	0.131768868212244	0.108571874848735	2	2	TRUE	TRUE	9598
NC_133176.1	14663443	14663519	77	*	22	Promoter (2-3kb)	2	14656193	14666177	9985	2	pcdh18a	XM_005159845.5	2658	gene-pcdh18a	9.4330445	0.131768868212244	0.108571874848735	2	2	TRUE	TRUE	2696
NC_133176.1	14665243	14665289	47	*	14	Promoter (<=1kb)	2	14656193	14666177	9985	2	pcdh18a	XM_005159845.5	888	gene-pcdh18a	9.4330445	0.131768868212244	0.108571874848735	2	2	TRUE	TRUE	911
NC_133176.1	15756491	15756568	78	*	40	Promoter (<=1kb)	2	15756012	15758448	2437	1	LOC567498	XM_005159850.6	479	gene-LOC567498	0.4297515	-1.78508980998886	-1.89296128923128	2	2	TRUE	TRUE	517
NC_133176.1	15756775	15756829	55	*	16	Promoter (<=1kb)	2	15756012	15758448	2437	1	LOC567498	XM_005159850.6	763	gene-LOC567498	0.4297515	-1.78508980998886	-1.89296128923128	2	2	TRUE	TRUE	790
NC_133176.1	15757087	15757114	28	*	16	Promoter (1-2kb)	2	15756012	15758448	2437	1	LOC567498	XM_005159850.6	1075	gene-LOC567498	0.4297515	-1.78508980998886	-1.89296128923128	2	2	TRUE	TRUE	1088
NC_133176.1	15840760	15840821	62	*	31	Promoter (1-2kb)	2	15838912	15848303	9392	1	rbpja	NM_198878.2	1848	gene-rbpja	13.096279	0.334461221055241	0.320736268974881	2	2	TRUE	TRUE	1878
NC_133176.1	15840853	15840909	57	*	39	Promoter (1-2kb)	2	15838912	15848303	9392	1	rbpja	NM_198878.2	1941	gene-rbpja	13.096279	0.334461221055241	0.320736268974881	2	2	TRUE	TRUE	1969
NC_133176.1	16627253	16627290	38	*	15	Promoter (<=1kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	909	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	927
NC_133176.1	16627418	16627515	98	*	43	Promoter (1-2kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	1074	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	1122
NC_133176.1	16627634	16627689	56	*	15	Promoter (1-2kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	1290	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	1317
NC_133176.1	16628418	16628487	70	*	21	Promoter (2-3kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	2074	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	2108
NC_133176.1	16628555	16628586	32	*	15	Promoter (2-3kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	2211	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	2226
NC_133176.1	16628633	16628658	26	*	15	Promoter (2-3kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	2289	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	2301
NC_133176.1	16629047	16629099	53	*	15	Promoter (2-3kb)	2	16626344	16634340	7997	1	pcdh7a	XR_012405794.1	2703	gene-pcdh7a	0.557811	-1.61389452953745	-1.65427663380486	2	2	TRUE	TRUE	2729
NC_133176.1	17943892	17943928	37	*	17	Promoter (<=1kb)	2	17942201	17944264	2064	2	fgf20a	NM_001037103.2	336	gene-fgf20a	1.513267	-1.00257635700198	-0.896294996585209	2	2	TRUE	TRUE	354
NC_133176.1	17943945	17943979	35	*	21	Promoter (<=1kb)	2	17942201	17944264	2064	2	fgf20a	NM_001037103.2	285	gene-fgf20a	1.513267	-1.00257635700198	-0.896294996585209	2	2	TRUE	TRUE	302
NC_133176.1	18195983	18196024	42	*	17	3' UTR	2	18195559	18206303	10745	2	asah1b	NM_200577.1	10279	gene-asah1b	7.137919	-0.0400137314470751	-0.00710152116930296	2	2	TRUE	TRUE	10300
NC_133176.1	18443840	18443990	151	*	16	Distal Intergenic	2	18469769	18469984	216	2	LOC137489990	XR_011016149.1	25994	gene-LOC137489990	0	-Inf	-Inf	0	2	FALSE	TRUE	26069
NC_133176.1	19016123	19016174	52	*	14	Intron (XM_021469232.2/fat1a, intron 8 of 29)	2	18917413	19067727	150315	1	fat1a	XM_021469232.2	98710	gene-fat1a	14.666033	0.402715862507062	0.358908025360443	2	2	TRUE	TRUE	-54064
NC_133176.1	19221605	19221650	46	*	15	Promoter (1-2kb)	2	19219901	19222226	2326	1	slc25a4	NM_214702.1	1704	gene-slc25a4	4.8058765	-0.315813534485357	-0.509019751182253	2	2	TRUE	TRUE	1726
NC_133176.1	19221673	19221731	59	*	19	Promoter (1-2kb)	2	19219901	19222226	2326	1	slc25a4	NM_214702.1	1772	gene-slc25a4	4.8058765	-0.315813534485357	-0.509019751182253	2	2	TRUE	TRUE	1801
NC_133176.1	20012578	20012730	153	*	20	Intron (XM_021475203.3/klhl5, intron 1 of 10)	2	19900658	20022082	121425	2	klhl5	XM_021475203.3	9352	gene-klhl5	0.5055005	-1.69869462161473	-1.86259223164472	2	2	TRUE	TRUE	-328
NC_133176.1	20632505	20633205	701	*	109	3' UTR	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	110160	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	24265
NC_133176.1	20633960	20634004	45	*	33	3' UTR	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	109361	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	25392
NC_133176.1	20637951	20637979	29	*	20	3' UTR	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	105386	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	29375
NC_133176.1	20703903	20703934	32	*	16	Intron (XM_073944961.1/ptprdb, intron 5 of 29)	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	39431	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	-55376
NC_133176.1	20703969	20704005	37	*	23	Intron (XM_073944961.1/ptprdb, intron 5 of 29)	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	39360	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	-55307
NC_133176.1	20706580	20706650	71	*	64	Intron (XM_073944961.1/ptprdb, intron 5 of 29)	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	36715	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	-52679
NC_133176.1	20710059	20710092	34	*	15	Intron (XM_073944961.1/ptprdb, intron 5 of 29)	2	20633043	20743365	110323	2	ptprdb	XM_073944961.1	33273	gene-ptprdb	0.7108585	-1.46509628011679	-1.51330705255906	2	2	TRUE	TRUE	-49219
NC_133176.1	21109374	21109402	29	*	14	Promoter (2-3kb)	2	21106756	21136384	29629	1	fbxo10	XR_012402165.1	2618	gene-fbxo10	1.386962	-1.06140793341217	-1.16833708429352	2	2	TRUE	TRUE	2632
NC_133176.1	22906992	22907061	70	*	42	Intron (XM_005170896.3/gria2a, intron 11 of 15)	2	22893914	22979810	85897	2	gria2a	XM_005170896.3	72749	gene-gria2a	1.257004	-1.11125877990372	-1.13338501368355	2	2	TRUE	TRUE	-23299
NC_133176.1	24898955	24899011	57	*	15	Promoter (1-2kb)	2	24897592	24907641	10050	1	ube2kb	NM_001008611.2	1363	gene-ube2kb	21.504616	0.638087976364986	0.585239546850421	2	2	TRUE	TRUE	1391
NC_133176.1	25150182	25150216	35	*	19	3' UTR	2	25137756	25160475	22720	2	lcorl	XM_009291227.4	10259	gene-lcorl	13.8675765	0.369729511207156	0.355325434278642	2	2	TRUE	TRUE	10276
NC_133176.1	25151872	25151910	39	*	24	Intron (XM_009291227.4/lcorl, intron 6 of 7)	2	25137756	25160475	22720	2	lcorl	XM_009291227.4	8565	gene-lcorl	13.8675765	0.369729511207156	0.355325434278642	2	2	TRUE	TRUE	8584
NC_133176.1	25428503	25428591	89	*	48	5' UTR	2	25357530	25489381	131852	1	slit2	XM_021475850.3	70973	gene-slit2	11.309891	0.244138277535307	0.234586766630409	2	2	TRUE	TRUE	-17668
NC_133176.1	25488122	25488194	73	*	36	3' UTR	2	25357530	25489381	131852	1	slit2	XM_021475850.3	130592	gene-slit2	11.309891	0.244138277535307	0.234586766630409	2	2	TRUE	TRUE	-33882
NC_133176.1	25589579	25589608	30	*	15	Intron (XM_002660442.8/lrba, intron 46 of 55)	2	25537692	25968855	431164	2	lrba	XM_002660442.8	379247	gene-lrba	5.0048595	-0.25976603783026	-0.293614433519114	2	2	TRUE	TRUE	67553
NC_133176.1	25589774	25589821	48	*	34	Intron (XM_002660442.8/lrba, intron 46 of 55)	2	25537692	25968855	431164	2	lrba	XM_002660442.8	379034	gene-lrba	5.0048595	-0.25976603783026	-0.293614433519114	2	2	TRUE	TRUE	67757
NC_133176.1	25630867	25630892	26	*	16	Intron (XM_002660442.8/lrba, intron 45 of 55)	2	25537692	25968855	431164	2	lrba	XM_002660442.8	337963	gene-lrba	5.0048595	-0.25976603783026	-0.293614433519114	2	2	TRUE	TRUE	-61937
