seqnames	start	end	width	strand	phastcons	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	gene_name	mean_tpm	z_fpkm	is_active	in_atac_peak	nearby_gene_active	nearby_gene_fin_dev	overlaps_chan_enhancer	overlaps_yuesong_cne
NC_133176.1	39628727	39628826	100	*	28	Distal Intergenic	2	39661768	39664833	3066	1	LOC141383310	XR_012404326.1	-32942	gene-LOC141383310	0.1783645	-2.39400360436608	TRUE	1	1	0	0	0
NC_133176.1	40085469	40085608	140	*	35	Intron (NM_001100403.1/nr3c2, intron 3 of 8)	2	40048212	40205499	157288	2	nr3c2	NM_001100403.1	119891	gene-nr3c2	0.4498865	-1.73115022687525	TRUE	1	1	0	0	0
NC_133176.1	42058903	42058980	78	*	16	Intron (XR_012407266.1/LOC141386128, intron 2 of 2)	2	42032750	42103646	70897	1	LOC141386128	XR_012407266.1	26153	gene-LOC141386128	0	-Inf	FALSE	1	0	0	0	0
NC_133176.1	49393350	49393398	49	*	17	Distal Intergenic	2	49330027	49337733	7707	1	LOC141386309	XM_073954321.1	63323	gene-LOC141386309	0	-Inf	FALSE	0	0	0	0	0
NC_133176.1	50357373	50357452	80	*	19	Intron (XM_005170971.6/itsn1, intron 11 of 39)	2	50305831	50397023	91193	2	itsn1	XM_005170971.6	39571	gene-itsn1	10.91159	0.21704429463708	TRUE	0	1	0	0	0
NC_133176.1	53213843	53213872	30	*	14	Intron (XM_068222873.2/lef1, intron 9 of 9)	2	53128721	53218083	89363	1	lef1	XM_068222873.2	85122	gene-lef1	8.9468785	0.084984998613091	TRUE	1	1	1	0	0
NC_133176.1	55299224	55299285	62	*	18	Intron (XR_012405563.1/nfixa, intron 3 of 14)	2	55173803	55424866	251064	1	nfixa	XR_012405563.1	125421	gene-nfixa	0.1818665	-2.34467013526918	TRUE	0	1	0	0	0
NC_133177.1	7238441	7238509	69	*	19	Distal Intergenic	3	7244465	7273949	29485	1	nos1apb	XM_002660712.7	-5956	gene-nos1apb	0.4049205	-1.78551534548751	TRUE	0	1	0	0	0
NC_133177.1	10543892	10543953	62	*	22	Promoter (1-2kb)	3	10539749	10545631	5883	2	dmbx1a	NM_152977.1	1678	gene-dmbx1a	6.4723545	-0.176529139492559	TRUE	1	1	0	0	0
NC_133177.1	18904794	18904890	97	*	15	Promoter (<=1kb)	3	18904909	18912575	7667	1	grk7a	NM_001031841.3	-19	gene-grk7a	0.0594505	-3.36303658338946	FALSE	0	0	0	0	0
NC_133177.1	21118238	21118367	130	*	18	Intron (XM_073920772.1/pbx1a, intron 7 of 7)	3	21109089	21190262	81174	2	pbx1a	XM_073920772.1	71895	gene-pbx1a	4.127187	-0.346051979768336	TRUE	0	1	0	0	0
NC_133177.1	21204259	21204345	87	*	23	Intron (XM_017358962.4/pbx1a, intron 2 of 8)	3	21112468	21242268	129801	2	pbx1a	XM_017358962.4	37923	gene-pbx1a	4.127187	-0.346051979768336	TRUE	1	1	0	0	0
NC_133177.1	26460758	26460808	51	*	16	Distal Intergenic	3	26485554	26509140	23587	1	LOC103910044	XR_012391686.1	-24746	gene-LOC103910044	0.2174695	-1.86834296317669	TRUE	0	1	0	0	0
NC_133177.1	32264550	32264600	51	*	15	Distal Intergenic	3	32206737	32216481	9745	1	cdh18a	NM_001076735.1	57813	gene-cdh18a	0.286763	-2.14036771469883	TRUE	0	1	0	0	0
NC_133177.1	32673981	32674071	91	*	26	Promoter (2-3kb)	3	32671386	32685769	14384	1	as.1666	XR_002455955.2	2595	gene-as.1666	2.1981045	-0.939500632170068	TRUE	0	1	0	0	0
NC_133177.1	33591404	33591463	60	*	19	Intron (XM_009298574.5/ctnnd2b, intron 3 of 21)	3	33514278	33619428	105151	2	ctnnd2b	XM_009298574.5	27965	gene-ctnnd2b	13.1879325	0.330182663416588	TRUE	0	1	0	0	0
NC_133177.1	36153138	36153400	263	*	30	Intron (XM_073918605.1/rnf220a, intron 8 of 21)	3	35837720	36189789	352070	1	rnf220a	XM_073918605.1	315418	gene-rnf220a	27.790491	0.789399681717696	TRUE	0	1	0	0	0
NC_133177.1	36940479	36940635	157	*	29	Intron (XR_012392806.1/LOC141378372, intron 2 of 2)	3	36929288	36977629	48342	1	LOC141378372	XR_012392806.1	11191	gene-LOC141378372	0	-Inf	FALSE	0	0	0	0	0
NC_133177.1	36954489	36954534	46	*	16	Intron (XR_012392806.1/LOC141378372, intron 2 of 2)	3	36929288	36977629	48342	1	LOC141378372	XR_012392806.1	25201	gene-LOC141378372	0	-Inf	FALSE	0	0	0	0	0
NC_133177.1	36999767	36999828	62	*	16	Intron (NM_201074.2/eif2b3, intron 6 of 11)	3	36981846	37045027	63182	2	eif2b3	NM_201074.2	45199	gene-eif2b3	20.37987	0.595043917643222	TRUE	1	1	0	0	0
NC_133177.1	37488723	37488779	57	*	16	Intron (NM_001309831.2/brinp2, intron 1 of 7)	3	37347936	37529564	181629	2	brinp2	NM_001309831.2	40785	gene-brinp2	0.2041815	-2.2330027746368	TRUE	0	1	0	0	0
NC_133177.1	60124689	60124877	189	*	19	Distal Intergenic	3	60088767	60097536	8770	2	LOC100330771	XM_073921779.1	-27153	gene-LOC100330771	0	-Inf	FALSE	0	0	0	0	0
NC_133177.1	61187264	61187295	32	*	14	Promoter (2-3kb)	3	61177654	61189885	12232	2	LOC100331115	XM_073932129.1	2590	gene-LOC100331115	34.35245	0.911386272287729	TRUE	1	1	0	0	0
NC_133178.1	2270174	2270319	146	*	31	Distal Intergenic	4	2279196	2301281	22086	1	LOC103910189	XM_017354893.4	-8877	gene-LOC103910189	0.325058	-1.91412132047465	TRUE	0	1	0	0	0
NC_133178.1	8128077	8128236	160	*	25	Distal Intergenic	4	8155535	8159486	3952	1	LOC141381130	XR_012400800.1	-27299	gene-LOC141381130	0	-Inf	FALSE	0	0	0	0	0
NC_133178.1	13605623	13605708	86	*	27	Intron (XM_009299287.5/nfixb, intron 3 of 13)	4	13419326	13706614	287289	1	nfixb	XM_009299287.5	186297	gene-nfixb	0.1648465	-2.42131300547365	TRUE	0	1	0	0	0
NC_133178.1	22427647	22427728	82	*	17	Promoter (<=1kb)	4	22427829	22430587	2759	1	hoxb8a	XM_005171563.6	-101	gene-hoxb8a	25.064163	0.73809972287751	TRUE	1	1	0	0	0
NC_133178.1	22471838	22471883	46	*	15	Intron (NM_131117.3/hoxb3a, intron 2 of 4)	4	22437930	22487939	50010	1	hoxb3a	NM_131117.3	33908	gene-hoxb3a	39.961246	1.01447021400075	TRUE	1	1	0	0	0
NC_133178.1	26777649	26777769	121	*	17	Intron (XM_017354043.4/rbfox1, intron 7 of 13)	4	26727111	26818656	91546	2	rbfox1	XM_017354043.4	40887	gene-rbfox1	4.981273	-0.315925428957593	TRUE	0	1	0	0	0
NC_133178.1	26817350	26817437	88	*	15	Promoter (1-2kb)	4	26727111	26818656	91546	2	rbfox1	XM_017354043.4	1219	gene-rbfox1	4.981273	-0.315925428957593	TRUE	1	1	0	0	0
NC_133178.1	26825387	26825533	147	*	23	Intron (XM_017354049.4/rbfox1, intron 1 of 13)	4	26727111	26863346	136236	2	rbfox1	XM_017354049.4	37813	gene-rbfox1	4.981273	-0.315925428957593	TRUE	1	1	0	0	0
NC_133178.1	26984111	26984228	118	*	16	Intron (XM_017354045.4/rbfox1, intron 1 of 13)	4	26727111	26994855	267745	2	rbfox1	XM_017354045.4	10627	gene-rbfox1	4.981273	-0.315925428957593	TRUE	0	1	0	0	0
NC_133178.1	31703024	31703173	150	*	29	Distal Intergenic	4	31706665	31709680	3016	2	kat7a	NM_001076584.1	6507	gene-kat7a	0.712702	-1.52907312446713	TRUE	0	1	0	0	0
NC_133178.1	31703261	31703301	41	*	15	Distal Intergenic	4	31706665	31709680	3016	2	kat7a	NM_001076584.1	6379	gene-kat7a	0.712702	-1.52907312446713	TRUE	0	1	0	0	0
NC_133178.1	34368248	34368485	238	*	33	Distal Intergenic	4	34389280	34389722	443	1	tnrc6a	NR_023338.1	-20795	gene-tnrc6a	57.279677	1.26864325586651	TRUE	0	1	0	0	0
NC_133178.1	36554445	36554481	37	*	14	Intron (NM_001328037.1/gpatch8, intron 2 of 7)	4	36533322	36569700	36379	2	gpatch8	NM_001328037.1	15219	gene-gpatch8	22.02813	0.626017220779023	TRUE	1	1	0	0	0
NC_133178.1	44437541	44437616	76	*	15	Intron (XM_068217664.2/pdpk1a, intron 13 of 13)	4	44433615	44458672	25058	2	pdpk1a	XM_068217664.2	21056	gene-pdpk1a	1.10507	-1.19804244472505	TRUE	0	1	0	0	0
NC_133178.1	45969450	45969515	66	*	17	Intron (XR_012401199.1/LOC103910324, intron 1 of 1)	4	45966316	45976940	10625	1	LOC103910324	XR_012401199.1	3134	gene-LOC103910324	0.254262	-2.4743124772485	TRUE	0	1	0	0	1
NC_133178.1	59357198	59357284	87	*	16	Distal Intergenic	4	59362357	59381954	19598	2	axin2	NM_131561.1	24670	gene-axin2	31.7385405	0.865062126382582	TRUE	1	1	0	0	0
NC_133178.1	59364662	59364756	95	*	16	Intron (NM_131561.1/axin2, intron 10 of 10)	4	59362357	59381954	19598	2	axin2	NM_131561.1	17198	gene-axin2	31.7385405	0.865062126382582	TRUE	0	1	0	0	0
NC_133179.1	2469822	2469886	65	*	19	Intron (XM_073945388.1/kcnc2, intron 3 of 3)	5	2388042	2497550	109509	2	kcnc2	XM_073945388.1	27664	gene-kcnc2	0.0432205	-3.22468439322302	FALSE	0	0	0	0	0
NC_133179.1	2851309	2851713	405	*	28	Distal Intergenic	5	2854002	2865576	11575	2	csrp2	NM_200897.2	13863	gene-csrp2	8.4643985	0.0389613490422052	TRUE	0	1	0	0	0
NC_133179.1	6584836	6584912	77	*	26	Intron (XM_073945423.1/mdfic, intron 10 of 11)	5	6541241	6846485	305245	2	mdfic	XM_073945423.1	261573	gene-mdfic	1.6411485	-1.00871340224514	TRUE	1	1	0	0	0
NC_133179.1	6600296	6600324	29	*	17	Intron (XM_073945423.1/mdfic, intron 10 of 11)	5	6541241	6846485	305245	2	mdfic	XM_073945423.1	246161	gene-mdfic	1.6411485	-1.00871340224514	TRUE	1	1	0	0	0
NC_133179.1	6609668	6609710	43	*	16	Intron (XM_073945423.1/mdfic, intron 10 of 11)	5	6541241	6846485	305245	2	mdfic	XM_073945423.1	236775	gene-mdfic	1.6411485	-1.00871340224514	TRUE	0	1	0	0	0
NC_133179.1	6935536	6935626	91	*	15	Intron (XR_012401796.1/LOC141381570, intron 2 of 2)	5	6889621	6960563	70943	1	LOC141381570	XR_012401796.1	45915	gene-LOC141381570	0.022806	-3.53078204844651	FALSE	0	0	0	0	0
NC_133179.1	13078656	13078831	176	*	20	Distal Intergenic	5	13056157	13057329	1173	1	LOC103910417	XR_002456990.3	22499	gene-LOC103910417	1.5727365	-1.00424422895624	TRUE	0	1	0	0	0
NC_133179.1	13088266	13088404	139	*	21	Distal Intergenic	5	13056157	13057329	1173	1	LOC103910417	XR_002456990.3	32109	gene-LOC103910417	1.5727365	-1.00424422895624	TRUE	0	1	0	0	0
NC_133179.1	13392576	13392803	228	*	27	Intron (XR_012401477.1/msrb3, intron 11 of 12)	5	13376193	13489619	113427	2	msrb3	XR_012401477.1	96816	gene-msrb3	16.1999985	0.451785971245365	TRUE	0	1	0	0	0
NC_133179.1	15812892	15812957	66	*	19	Intron (XM_005164690.6/plxna4, intron 28 of 31)	5	15801201	16024935	223735	2	plxna4	XM_005164690.6	211978	gene-plxna4	2.111814	-0.807847819831881	TRUE	0	1	0	0	0
NC_133179.1	16212707	16212832	126	*	16	Intron (XM_073946250.1/exoc4, intron 5 of 9)	5	16189291	16243382	54092	1	exoc4	XM_073946250.1	23416	gene-exoc4	8.930257	0.0253167450997099	TRUE	0	1	0	0	0
NC_133179.1	17988987	17989042	56	*	17	Intron (NM_200551.1/pah, intron 4 of 12)	5	17980184	17997946	17763	2	pah	NM_200551.1	8904	gene-pah	12.6824925	0.242816467433335	TRUE	1	1	0	0	0
NC_133179.1	21054398	21054502	105	*	18	Intron (XM_073945538.1/cacna1c, intron 30 of 30)	5	20904022	21058427	154406	1	cacna1c	XM_073945538.1	150376	gene-cacna1c	0.4314195	-1.75952849166439	TRUE	0	1	0	0	0
NC_133179.1	25542870	25542997	128	*	21	Distal Intergenic	5	25697545	25707569	10025	2	gata3	NM_131211.1	164572	gene-gata3	13.814054	0.398834158935302	TRUE	0	1	0	0	0
NC_133179.1	28731143	28731543	401	*	33	Distal Intergenic	5	28734833	28835315	100483	1	slc6a1l	XM_021475277.3	-3290	gene-slc6a1l	0.0813945	-3.13182703614659	FALSE	1	0	0	0	0
NC_133179.1	69069802	69069895	94	*	15	Distal Intergenic	5	69060687	69066397	5711	2	LOC569391	XM_692772.10	-3405	gene-LOC569391	4.302477	-0.35463341305801	TRUE	0	1	0	0	0
NC_133179.1	69359883	69359942	60	*	19	Downstream (<=300bp)	5	69244666	69353448	108783	2	si:ch73-170d6.3	XM_002662153.8	-6435	gene-si:ch73-170d6.3	0.071807	-2.83628297015746	TRUE	1	1	0	0	0
NC_133180.1	3379800	3379862	63	*	16	Distal Intergenic	6	3332030	3369391	37362	1	hpda	XM_068221127.1	47770	gene-hpda	0.447439	-1.58450449647876	TRUE	0	1	0	0	0
NC_133180.1	3379964	3380055	92	*	31	Distal Intergenic	6	3332030	3369391	37362	1	hpda	XM_068221127.1	47934	gene-hpda	0.447439	-1.58450449647876	TRUE	0	1	0	0	0
NC_133180.1	5039802	5039854	53	*	16	Distal Intergenic	6	5053408	5064358	10951	2	zgc:153704	NM_001076726.2	24504	gene-zgc:153704	0.0277285	-Inf	FALSE	0	0	0	0	0
NC_133180.1	12099441	12099543	103	*	17	Distal Intergenic	6	12122113	12124647	2535	2	LOC110439807	XR_002458847.3	25104	gene-LOC110439807	2.0755575	-0.803306842481307	TRUE	1	1	0	0	0
NC_133180.1	16011082	16011152	71	*	21	Intron (XM_073951113.1/srrm4, intron 1 of 14)	6	15950643	16019638	68996	2	gnb1l	XM_073950324.1	8486	gene-gnb1l	3.379325	-0.544148190159941	TRUE	1	1	0	0	1
NC_133180.1	20122620	20122805	186	*	28	Intron (NM_131099.2/foxn4, intron 2 of 9)	6	20112343	20127005	14663	2	foxn4	NM_131099.2	4200	gene-foxn4	7.8063195	-0.0242491488883414	TRUE	1	1	0	0	0
NC_133180.1	28008981	28009044	64	*	17	Promoter (1-2kb)	6	28010650	28020833	10184	1	hdr	XM_005171798.6	-1606	gene-hdr	13.0567635	0.340669083014549	TRUE	0	1	0	0	0
NC_133180.1	33889183	33889228	46	*	15	Intron (XM_005171922.6/kyat1, intron 13 of 13)	6	33887869	33896433	8565	2	kyat1	XM_005171922.6	7205	gene-kyat1	7.6580435	0.016042592390452	TRUE	1	1	0	0	0
NC_133180.1	40140960	40141139	180	*	24	Intron (XM_073950029.1/paqr3a, intron 3 of 8)	6	40059657	40288392	228736	2	paqr3a	XM_073950029.1	147253	gene-paqr3a	13.240069	0.361176663776968	TRUE	0	1	0	0	0
NC_133180.1	40156163	40156283	121	*	16	Intron (XM_073950029.1/paqr3a, intron 2 of 8)	6	40059657	40288392	228736	2	paqr3a	XM_073950029.1	132109	gene-paqr3a	13.240069	0.361176663776968	TRUE	1	1	0	0	0
NC_133180.1	40457060	40457157	98	*	17	Promoter (<=1kb)	6	40457233	40475845	18613	1	fgf5	NM_001009561.1	-76	gene-fgf5	0.236874	-2.19207592407012	TRUE	1	1	0	0	0
NC_133180.1	41541805	41541906	102	*	18	Intron (XM_073951747.1/LOC141385704, intron 1 of 1)	6	41260511	41691280	430770	2	LOC141385704	XM_073951747.1	149374	gene-LOC141385704	0	-Inf	FALSE	0	0	0	0	0
NC_133180.1	41593971	41594058	88	*	19	Intron (XM_073951747.1/LOC141385704, intron 1 of 1)	6	41260511	41691280	430770	2	LOC141385704	XM_073951747.1	97222	gene-LOC141385704	0	-Inf	FALSE	0	0	0	0	0
NC_133180.1	42051692	42051753	62	*	19	Intron (NM_199558.2/zfr, intron 15 of 19)	6	42045294	42063168	17875	2	zfr	NM_199558.2	11415	gene-zfr	48.295897	1.124532980822	TRUE	0	1	0	0	0
NC_133180.1	42206792	42207005	214	*	20	Intron (XM_073950925.1/arid3c, intron 5 of 10)	6	42114484	42318231	203748	1	arid3c	XM_073950925.1	92308	gene-arid3c	21.564662	0.587228165022529	TRUE	1	1	0	0	0
NC_133180.1	46000582	46000691	110	*	19	Intron (XR_012405807.1/dmrt1, intron 3 of 3)	6	45957831	46021797	63967	2	LOC141385594	XR_012406318.1	21106	gene-LOC141385594	0.0223055	-3.96255380169738	FALSE	1	0	0	0	0
NC_133180.1	52249854	52249896	43	*	14	Intron (XM_009301757.5/mef2cb, intron 6 of 10)	6	52237261	52342395	105135	2	mef2cb	XM_009301757.5	92499	gene-mef2cb	11.431972	0.226299992737857	TRUE	0	1	0	0	0
NC_133180.1	53441787	53441840	54	*	16	Distal Intergenic	6	53453980	53477594	23615	1	LOC141385855	XR_012406967.1	-12140	gene-LOC141385855	0.008841	-3.69764922500104	FALSE	1	0	0	0	0
NC_133180.1	53706293	53706398	106	*	16	Distal Intergenic	6	53807146	53814374	7229	2	linc.0464	XR_223641.6	107976	gene-linc.0464	17.598861	0.460529662025385	TRUE	1	1	0	0	0
NC_133180.1	53794840	53794914	75	*	23	Distal Intergenic	6	53807146	53814374	7229	2	linc.0464	XR_223641.6	19460	gene-linc.0464	17.598861	0.460529662025385	TRUE	0	1	0	0	0
NC_133180.1	54567295	54567390	96	*	18	Intron (XM_009301796.4/mctp1a, intron 17 of 21)	6	54525348	54781736	256389	2	mctp1a	XM_009301796.4	214346	gene-mctp1a	0.558089	-1.63072472549753	TRUE	0	1	0	0	0
NC_133180.1	67070388	67070445	58	*	18	Intron (XM_017356366.3/doc2b, intron 9 of 17)	6	66809144	67220872	411729	1	doc2b	XM_017356366.3	261244	gene-doc2b	0.64831	-1.46689552349536	TRUE	0	1	0	0	0
NC_133180.1	70039222	70039261	40	*	15	Intron (XM_073949694.1/pappab, intron 2 of 22)	6	69846735	70099618	252884	2	pappab	XM_073949694.1	60357	gene-pappab	0.4114915	-1.96936338022378	TRUE	1	1	0	0	0
NC_133180.1	71632769	71632801	33	*	16	Intron (XM_005168649.6/notch1b, intron 15 of 33)	6	71594565	71699365	104801	2	notch1b	XM_005168649.6	66564	gene-notch1b	11.4798975	0.225860747499739	TRUE	1	1	0	0	0
NC_133180.1	74019131	74019236	106	*	19	Distal Intergenic	6	74002918	74015976	13059	2	gtf3aa	NM_001003866.1	-3155	gene-gtf3aa	19.5803825	0.569150400750423	TRUE	1	1	0	0	0
NC_133181.1	957419	957516	98	*	28	Intron (XR_012407492.1/LOC141386151, intron 2 of 5)	7	885855	1125265	239411	1	LOC141386151	XR_012407492.1	71564	gene-LOC141386151	0.011179	-3.96683571250575	FALSE	1	0	0	0	0
NC_133181.1	1500521	1500580	60	*	23	Intron (XR_012407497.1/LOC141386154, intron 2 of 3)	7	1493254	1664286	171033	1	LOC141386154	XR_012407497.1	7267	gene-LOC141386154	0.030005	-Inf	FALSE	1	0	0	0	0
NC_133181.1	2281173	2281261	89	*	22	Promoter (<=1kb)	7	2269934	2280821	10888	2	chchd6b	XM_073952909.1	-352	gene-chchd6b	37.6688545	0.965726269942887	TRUE	1	1	0	0	0
NC_133181.1	3090673	3090725	53	*	16	Intron (XR_012407413.1/pbx1b, intron 7 of 8)	7	2968294	3095176	126883	1	pbx1b	XR_012407413.1	122379	gene-pbx1b	2.337004	-0.855297990230495	TRUE	1	1	0	0	0
NC_133181.1	5225891	5225989	99	*	19	Intron (XR_012407551.1/LOC137495912, intron 4 of 5)	7	5138545	5341578	203034	2	LOC137495912	XR_012407551.1	115589	gene-LOC137495912	0.242666	-2.26269007611658	TRUE	0	1	0	0	0
NC_133181.1	5237285	5237334	50	*	15	Intron (XR_012407551.1/LOC137495912, intron 4 of 5)	7	5138545	5341578	203034	2	LOC137495912	XR_012407551.1	104244	gene-LOC137495912	0.242666	-2.26269007611658	TRUE	1	1	0	0	0
NC_133181.1	5255950	5256066	117	*	21	Intron (NM_001312866.2/pou4f1, intron 1 of 1)	7	5138545	5341578	203034	2	LOC137495912	XR_012407551.1	85512	gene-LOC137495912	0.242666	-2.26269007611658	TRUE	1	1	0	0	0
NC_133181.1	6479943	6480057	115	*	22	Intron (XR_012407583.1/LOC141386167, intron 3 of 6)	7	6392826	6573846	181021	2	LOC141386167	XR_012407583.1	93789	gene-LOC141386167	0.0354695	-2.8480233562975	TRUE	1	1	0	0	0
NC_133181.1	7851500	7851570	71	*	16	Intron (NM_001114896.1/rapgef4b, intron 12 of 12)	7	7787711	7859195	71485	1	rapgef4b	NM_001114896.1	63789	gene-rapgef4b	0.7073735	-1.39324088296116	TRUE	0	1	0	0	0
NC_133181.1	12785482	12785544	63	*	19	Intron (XR_011015917.2/LOC137495927, intron 1 of 1)	7	12777645	12792305	14661	2	LOC137495927	XR_011015917.2	6761	gene-LOC137495927	0.6188215	-1.57484796606992	TRUE	1	1	0	0	0
NC_133181.1	14196028	14196106	79	*	16	Intron (XM_073952792.1/asic4b, intron 1 of 9)	7	13908442	14659177	750736	1	asic4b	XM_073952792.1	287586	gene-asic4b	0.6155555	-1.60602818509392	TRUE	0	1	0	1	0
NC_133181.1	15416346	15416390	45	*	16	Distal Intergenic	7	15309553	15332806	23254	2	LOC141386204	XR_012407710.1	-83540	gene-LOC141386204	0	-Inf	FALSE	1	0	0	0	0
NC_133181.1	15469911	15469980	70	*	18	Distal Intergenic	7	15309553	15332806	23254	2	LOC141386204	XR_012407710.1	-137105	gene-LOC141386204	0	-Inf	FALSE	1	0	0	0	0
NC_133181.1	15749237	15749294	58	*	16	Distal Intergenic	7	15756895	15764255	7361	1	LOC110439863	XM_021477050.2	-7601	gene-LOC110439863	1.395052	-1.00338681511773	TRUE	1	1	0	0	0
NC_133181.1	15943336	15943425	90	*	22	Promoter (2-3kb)	7	15912926	15940353	27428	2	si:ch73-30b17.2	XR_012407714.1	-2983	gene-si:ch73-30b17.2	4.2534285	-0.434870597008773	TRUE	0	1	0	0	0
NC_133181.1	17095872	17095935	64	*	15	Intron (XM_005168731.6/agap1, intron 17 of 18)	7	17063880	17301549	237670	2	agap1	XM_005168731.6	205614	gene-agap1	8.188627	-0.0132195653885413	TRUE	1	1	0	0	0
NC_133181.1	27198215	27198282	68	*	21	Distal Intergenic	7	27207703	27249194	41492	1	LOC137490211	XR_012407955.1	-9421	gene-LOC137490211	0.2008325	-2.37845835526105	TRUE	0	1	0	0	0
NC_133181.1	27292745	27292926	182	*	40	Intron (XR_012407950.1/LOC137490211, intron 5 of 5)	7	27207703	27388076	180374	1	LOC137490211	XR_012407950.1	85042	gene-LOC137490211	0.2008325	-2.37845835526105	TRUE	0	1	0	0	0
NC_133181.1	27391521	27391566	46	*	14	Distal Intergenic	7	27283093	27286922	3830	1	barhl2	NM_205740.1	108428	gene-barhl2	5.482916	-0.200140884034682	TRUE	1	1	0	0	0
NC_133181.1	28449550	28449601	52	*	16	Intron (XR_012407225.1/kyat3.2, intron 13 of 15)	7	27735965	28544820	808856	1	kyat3.2	XR_012407225.1	713585	gene-kyat3.2	16.1902525	0.484122241912958	TRUE	1	1	0	0	0
NC_133181.1	28458139	28458189	51	*	19	Intron (XR_012407225.1/kyat3.2, intron 13 of 15)	7	27735965	28544820	808856	1	kyat3.2	XR_012407225.1	722174	gene-kyat3.2	16.1902525	0.484122241912958	TRUE	1	1	0	0	0
NC_133181.1	29050458	29050596	139	*	26	Intron (XM_073954096.1/LOC141386270, intron 1 of 2)	7	28913773	29268734	354962	1	LOC141386270	XM_073954096.1	136685	gene-LOC141386270	0.0099055	-4.04079722146932	FALSE	1	0	0	0	0
NC_133181.1	31162290	31162433	144	*	51	Intron (XM_073953323.1/lpp, intron 10 of 12)	7	31017660	31191816	174157	2	LOC141386288	XR_012407977.1	29383	gene-LOC141386288	0.010137	-4.02665644320285	FALSE	0	0	0	0	0
