cne_chr	cne_start	cne_end	cne_phastcons	atac_chr	atac_start	atac_end	atac_peak_name	atac_score
NC_133194.1	43169705	43169773	14	NC_133194.1	43169479	43170109	Interval_182935	0
NC_133194.1	43985182	43985359	18	NC_133194.1	43985227	43985886	Interval_183063	0
NC_133194.1	44104288	44104475	18	NC_133194.1	44104107	44104630	Interval_183085	0
NC_133194.1	44682309	44682411	18	NC_133194.1	44682064	44682669	Interval_183177	0
NC_133194.1	45495674	45495766	16	NC_133194.1	45495424	45495769	Interval_183288	0
NC_133194.1	45598169	45598369	46	NC_133194.1	45597178	45598399	Interval_183302	0
NC_133194.1	45711690	45711833	27	NC_133194.1	45710653	45712529	Interval_183318	0
NC_133194.1	45751985	45752067	20	NC_133194.1	45751678	45752907	Interval_183321	0
NC_133194.1	45776734	45776776	14	NC_133194.1	45776445	45777111	Interval_183326	0
NC_133194.1	46157970	46158140	22	NC_133194.1	46157562	46158237	Interval_183389	0
NC_133194.1	46163303	46163577	24	NC_133194.1	46163430	46163672	Interval_183391	0
NC_133194.1	46328557	46328613	15	NC_133194.1	46327155	46328937	Interval_183411	0
NC_133194.1	46663129	46663199	16	NC_133194.1	46662502	46663155	Interval_183452	0
NC_133194.1	46667562	46667702	28	NC_133194.1	46667531	46667713	Interval_183453	0
NC_133194.1	46674884	46674985	21	NC_133194.1	46674847	46675695	Interval_183454	0
NC_133194.1	46717613	46717653	14	NC_133194.1	46717049	46717783	Interval_183462	0
NC_133194.1	51016239	51016354	21	NC_133194.1	51015626	51016281	Interval_184463	0
NC_133194.1	51031501	51031608	23	NC_133194.1	51031455	51031800	Interval_184467	0
NC_133194.1	51039515	51039569	14	NC_133194.1	51039168	51039902	Interval_184470	0
NC_133194.1	51108122	51108263	24	NC_133194.1	51108253	51108469	Interval_184494	0
NC_133194.1	51398863	51398918	15	NC_133194.1	51398526	51399905	Interval_184567	0
NC_133194.1	51399163	51399239	21	NC_133194.1	51398526	51399905	Interval_184567	0
NC_133194.1	51587952	51588121	39	NC_133194.1	51587308	51588758	Interval_184607	0
NC_133194.1	51588317	51588560	33	NC_133194.1	51587308	51588758	Interval_184607	0
NC_133183.1	104612	104806	25	NC_133183.1	104425	105386	Interval_75420	0
NC_133183.1	131638	131797	25	NC_133183.1	131035	132598	Interval_75424	0
NC_133183.1	134204	134266	19	NC_133183.1	133367	134838	Interval_75425	0
NC_133183.1	350709	350801	16	NC_133183.1	350407	351242	Interval_75480	0
NC_133183.1	484163	484320	27	NC_133183.1	484054	484591	Interval_75513	0
NC_133183.1	532858	533215	33	NC_133183.1	531273	532946	Interval_75527	0
NC_133183.1	606416	606570	32	NC_133183.1	606276	606888	Interval_75545	0
NC_133183.1	1400570	1400637	18	NC_133183.1	1400291	1400595	Interval_75747	0
NC_133183.1	1458203	1458271	16	NC_133183.1	1457756	1460401	Interval_75760	0
NC_133183.1	1460081	1460197	25	NC_133183.1	1457756	1460401	Interval_75760	0
NC_133183.1	1464033	1464136	16	NC_133183.1	1463671	1464417	Interval_75762	0
NC_133183.1	1573027	1573119	18	NC_133183.1	1572395	1573362	Interval_75792	0
NC_133183.1	2807513	2807546	15	NC_133183.1	2807343	2808318	Interval_76113	0
NC_133183.1	2932724	2932891	20	NC_133183.1	2932644	2932816	Interval_76143	0
NC_133183.1	3274905	3274969	16	NC_133183.1	3274817	3275900	Interval_76239	0
NC_133183.1	3600644	3600720	16	NC_133183.1	3600228	3601322	Interval_76325	0
NC_133183.1	4476441	4476575	20	NC_133183.1	4474842	4476632	Interval_76517	0
NC_133183.1	5035478	5035558	15	NC_133183.1	5035397	5035581	Interval_76644	0
NC_133183.1	5281647	5281838	41	NC_133183.1	5281626	5282332	Interval_76707	0
NC_133183.1	5303364	5303484	22	NC_133183.1	5302312	5303529	Interval_76715	0
NC_133183.1	5325323	5325397	17	NC_133183.1	5325042	5326295	Interval_76723	0
NC_133183.1	5342661	5342804	23	NC_133183.1	5342541	5343220	Interval_76727	0
NC_133183.1	5354911	5354960	16	NC_133183.1	5354745	5356196	Interval_76729	0
NC_133183.1	5368957	5369127	20	NC_133183.1	5368976	5370087	Interval_76733	0
NC_133183.1	5394948	5395083	17	NC_133183.1	5394850	5395309	Interval_76737	0
NC_133183.1	5398298	5398373	20	NC_133183.1	5398046	5399348	Interval_76738	0
NC_133183.1	5638217	5638299	15	NC_133183.1	5637918	5638617	Interval_76787	0
NC_133183.1	6395371	6395411	18	NC_133183.1	6395192	6395599	Interval_76940	0
NC_133183.1	6652966	6653152	17	NC_133183.1	6652754	6653130	Interval_77015	0
NC_133183.1	6659217	6659367	21	NC_133183.1	6659188	6661593	Interval_77017	0
NC_133183.1	9048050	9048341	63	NC_133183.1	9048076	9048343	Interval_77614	0
NC_133183.1	9599857	9599904	14	NC_133183.1	9597851	9599893	Interval_77720	0
NC_133183.1	9821719	9821860	17	NC_133183.1	9821802	9822329	Interval_77760	0
NC_133183.1	9836377	9836451	23	NC_133183.1	9836365	9836645	Interval_77761	0
NC_133183.1	10213025	10213206	33	NC_133183.1	10212908	10213693	Interval_77818	0
NC_133183.1	10216816	10217015	33	NC_133183.1	10216837	10217186	Interval_77819	0
NC_133183.1	10675478	10675582	21	NC_133183.1	10675254	10677273	Interval_77888	0
NC_133183.1	10827151	10827229	16	NC_133183.1	10826643	10827326	Interval_77914	0
NC_133183.1	11253852	11253959	16	NC_133183.1	11253719	11254455	Interval_77999	0
NC_133183.1	11874013	11874051	15	NC_133183.1	11871058	11874771	Interval_78113	0
NC_133183.1	13719615	13719717	20	NC_133183.1	13718900	13719647	Interval_78441	0
NC_133183.1	14710561	14710642	16	NC_133183.1	14710384	14710571	Interval_78632	0
NC_133183.1	15546098	15546245	22	NC_133183.1	15545767	15546294	Interval_78741	0
NC_133183.1	15612359	15612475	16	NC_133183.1	15612209	15612594	Interval_78757	0
NC_133183.1	15623667	15623764	23	NC_133183.1	15623527	15623884	Interval_78760	0
NC_133183.1	15981957	15982238	34	NC_133183.1	15981783	15982102	Interval_78819	0
NC_133183.1	15995694	15995759	17	NC_133183.1	15995729	15996111	Interval_78822	0
NC_133183.1	16663950	16664012	18	NC_133183.1	16663949	16664193	Interval_78951	0
NC_133183.1	17281023	17281172	20	NC_133183.1	17280969	17281332	Interval_79083	0
NC_133183.1	18476934	18477073	25	NC_133183.1	18476932	18477238	Interval_79335	0
NC_133183.1	19961688	19961726	14	NC_133183.1	19960419	19962399	Interval_79562	0
NC_133183.1	20719832	20720000	22	NC_133183.1	20719420	20719870	Interval_79651	0
NC_133183.1	21534722	21534808	16	NC_133183.1	21534619	21534973	Interval_79786	0
NC_133183.1	21545777	21545862	15	NC_133183.1	21545611	21546204	Interval_79790	0
NC_133183.1	21567388	21567480	16	NC_133183.1	21567175	21567700	Interval_79797	0
NC_133183.1	21966795	21966897	39	NC_133183.1	21966738	21967832	Interval_79861	0
NC_133183.1	22175234	22175294	16	NC_133183.1	22174984	22175267	Interval_79890	0
NC_133183.1	22325647	22325694	16	NC_133183.1	22324790	22325824	Interval_79913	0
NC_133183.1	23168606	23168682	25	NC_133183.1	23168496	23168868	Interval_80022	0
NC_133183.1	23239497	23239595	17	NC_133183.1	23239158	23239566	Interval_80027	0
NC_133183.1	24510503	24510649	17	NC_133183.1	24508897	24511824	Interval_80234	0
NC_133183.1	24510990	24511102	21	NC_133183.1	24508897	24511824	Interval_80234	0
NC_133183.1	24517151	24517202	16	NC_133183.1	24517048	24518621	Interval_80235	0
NC_133183.1	24517293	24517379	25	NC_133183.1	24517048	24518621	Interval_80235	0
NC_133183.1	24518473	24518540	28	NC_133183.1	24517048	24518621	Interval_80235	0
NC_133183.1	24526487	24526584	17	NC_133183.1	24525830	24526509	Interval_80237	0
NC_133183.1	24530256	24530450	38	NC_133183.1	24530335	24531088	Interval_80238	0
NC_133183.1	24530930	24531139	22	NC_133183.1	24530335	24531088	Interval_80238	0
NC_133183.1	24927046	24927160	17	NC_133183.1	24926934	24927202	Interval_80301	0
NC_133183.1	25439527	25439586	14	NC_133183.1	25439585	25440055	Interval_80387	0
NC_133183.1	25446082	25446173	15	NC_133183.1	25445544	25446424	Interval_80389	0
NC_133183.1	26030349	26030603	33	NC_133183.1	26030294	26031679	Interval_80469	0
NC_133183.1	26685971	26686171	22	NC_133183.1	26686032	26688023	Interval_80518	0
NC_133183.1	26686802	26687021	20	NC_133183.1	26686032	26688023	Interval_80518	0
NC_133183.1	26687281	26687340	18	NC_133183.1	26686032	26688023	Interval_80518	0
NC_133183.1	26777480	26777536	20	NC_133183.1	26777523	26777817	Interval_80532	0
NC_133183.1	28505174	28505247	15	NC_133183.1	28505132	28505501	Interval_80775	0
NC_133183.1	28646234	28646302	17	NC_133183.1	28646178	28646562	Interval_80809	0
NC_133183.1	30299570	30299724	19	NC_133183.1	30299598	30299860	Interval_81118	0
NC_133183.1	30414646	30414678	14	NC_133183.1	30414391	30414814	Interval_81138	0
NC_133183.1	31679396	31679422	15	NC_133183.1	31679217	31679563	Interval_81365	0
NC_133183.1	32080141	32080204	15	NC_133183.1	32079945	32080674	Interval_81420	0
NC_133183.1	32091188	32091349	19	NC_133183.1	32091261	32091808	Interval_81422	0
NC_133183.1	32102209	32102339	16	NC_133183.1	32101737	32102570	Interval_81425	0
NC_133183.1	32438911	32439035	17	NC_133183.1	32438867	32439093	Interval_81484	0
NC_133183.1	32537744	32537883	25	NC_133183.1	32536480	32537805	Interval_81502	0
NC_133183.1	34719332	34719464	25	NC_133183.1	34718615	34719475	Interval_81835	0
NC_133183.1	35829450	35829573	17	NC_133183.1	35829342	35829696	Interval_82041	0
NC_133183.1	36035843	36035896	18	NC_133183.1	36035427	36036016	Interval_82079	0
NC_133183.1	36049959	36050213	41	NC_133183.1	36049985	36050181	Interval_82085	0
NC_133183.1	36142978	36143025	16	NC_133183.1	36142734	36143182	Interval_82110	0
NC_133183.1	36144567	36144774	22	NC_133183.1	36144533	36144925	Interval_82111	0
NC_133183.1	36239270	36239335	14	NC_133183.1	36239196	36239479	Interval_82123	0
NC_133183.1	36521131	36521209	18	NC_133183.1	36521127	36521307	Interval_82180	0
NC_133183.1	43815851	43815941	17	NC_133183.1	43814698	43816570	Interval_82588	0
NC_133183.1	43816474	43816704	25	NC_133183.1	43814698	43816570	Interval_82588	0
NC_133183.1	43839038	43839075	15	NC_133183.1	43838679	43840022	Interval_82593	0
NC_133183.1	43839620	43839750	47	NC_133183.1	43838679	43840022	Interval_82593	0
NC_133183.1	43947189	43947263	16	NC_133183.1	43947193	43947621	Interval_82617	0
NC_133183.1	43981929	43982075	20	NC_133183.1	43981847	43982865	Interval_82622	0
NC_133183.1	44186223	44186284	15	NC_133183.1	44186085	44186360	Interval_82657	0
NC_133183.1	47751404	47751481	16	NC_133183.1	47747135	47753524	Interval_83082	0
NC_133183.1	47751787	47751915	18	NC_133183.1	47747135	47753524	Interval_83082	0
NC_133183.1	47752347	47752816	38	NC_133183.1	47747135	47753524	Interval_83082	0
NC_133183.1	48768931	48769138	47	NC_133183.1	48768247	48770585	Interval_83233	0
NC_133183.1	48769199	48769381	34	NC_133183.1	48768247	48770585	Interval_83233	0
NC_133183.1	48924186	48924271	18	NC_133183.1	48923902	48924246	Interval_83257	0
NC_133183.1	51350738	51350871	23	NC_133183.1	51350549	51350878	Interval_83676	0
NC_133183.1	51428546	51428673	17	NC_133183.1	51428435	51428697	Interval_83690	0
NC_133183.1	52779018	52779277	26	NC_133183.1	52778651	52779534	Interval_83939	0
NC_133183.1	56710606	56710730	25	NC_133183.1	56709503	56710696	Interval_84366	0
NC_133183.1	57761030	57761176	20	NC_133183.1	57760593	57761175	Interval_84532	0
NC_133183.1	57886809	57886883	18	NC_133183.1	57885455	57887121	Interval_84555	0
NC_133183.1	58099951	58099989	14	NC_133183.1	58099360	58100105	Interval_84598	0
NC_133183.1	58252648	58252706	15	NC_133183.1	58252635	58253764	Interval_84627	0
NC_133183.1	59669055	59669139	15	NC_133183.1	59668979	59670125	Interval_84845	0
NC_133183.1	61262670	61262790	24	NC_133183.1	61262691	61263156	Interval_85119	0
NC_133183.1	61463406	61463547	16	NC_133183.1	61463383	61463568	Interval_85156	0
NC_133183.1	62493633	62493686	18	NC_133183.1	62493602	62493880	Interval_85305	0
NC_133183.1	63064679	63064794	16	NC_133183.1	63064662	63064905	Interval_85411	0
NC_133183.1	63451399	63451523	23	NC_133183.1	63450637	63451447	Interval_85473	0
NC_133183.1	63451399	63451523	23	NC_133183.1	63451473	63451701	Interval_85474	0
NC_133183.1	63469500	63469611	18	NC_133183.1	63468944	63470522	Interval_85479	0
NC_133183.1	63926000	63926090	17	NC_133183.1	63926000	63926456	Interval_85584	0
NC_133183.1	63930208	63930335	21	NC_133183.1	63930329	63930936	Interval_85585	0
NC_133183.1	63940247	63940359	19	NC_133183.1	63940001	63940908	Interval_85589	0
NC_133183.1	63941713	63941847	18	NC_133183.1	63941737	63942262	Interval_85590	0
NC_133183.1	64008952	64009063	17	NC_133183.1	64008957	64009623	Interval_85603	0
NC_133184.1	296201	296333	16	NC_133184.1	295980	296670	Interval_85743	0
NC_133184.1	1009418	1009550	18	NC_133184.1	1009428	1010366	Interval_85849	0
NC_133184.1	1120073	1120281	35	NC_133184.1	1120213	1121153	Interval_85871	0
NC_133184.1	1933510	1933549	16	NC_133184.1	1933362	1934192	Interval_86007	0
NC_133184.1	1947876	1947973	19	NC_133184.1	1947694	1948992	Interval_86013	0
NC_133184.1	1975269	1975530	20	NC_133184.1	1974302	1976742	Interval_86024	0
NC_133184.1	2046185	2046264	21	NC_133184.1	2046007	2046619	Interval_86037	0
NC_133184.1	2170356	2170384	14	NC_133184.1	2170007	2170868	Interval_86058	0
NC_133184.1	3778276	3778353	16	NC_133184.1	3777306	3778308	Interval_86316	0
NC_133184.1	4026693	4026757	17	NC_133184.1	4026171	4026896	Interval_86359	0
NC_133184.1	4481625	4481683	14	NC_133184.1	4481526	4482151	Interval_86471	0
NC_133184.1	4482050	4482221	18	NC_133184.1	4481526	4482151	Interval_86471	0
NC_133184.1	4718879	4718986	17	NC_133184.1	4718894	4719353	Interval_86520	0
NC_133184.1	4759763	4759907	23	NC_133184.1	4759849	4760131	Interval_86528	0
NC_133184.1	5124715	5124805	17	NC_133184.1	5124686	5125491	Interval_86601	0
NC_133184.1	7027322	7027450	18	NC_133184.1	7027176	7027502	Interval_86919	0
NC_133184.1	7061239	7061548	26	NC_133184.1	7060863	7061959	Interval_86925	0
NC_133184.1	7760941	7761110	20	NC_133184.1	7760963	7761701	Interval_87019	0
NC_133184.1	8537318	8537422	15	NC_133184.1	8536332	8539441	Interval_87138	0
NC_133184.1	8967810	8967878	15	NC_133184.1	8967620	8967923	Interval_87196	0
NC_133184.1	9204619	9204676	15	NC_133184.1	9204498	9204759	Interval_87233	0
NC_133184.1	10831772	10831864	19	NC_133184.1	10831461	10831871	Interval_87456	0
NC_133184.1	10845630	10845742	24	NC_133184.1	10845669	10846042	Interval_87459	0
NC_133184.1	11511813	11511925	17	NC_133184.1	11511181	11512377	Interval_87553	0
NC_133184.1	11533848	11533935	24	NC_133184.1	11531204	11534485	Interval_87556	0
NC_133184.1	12796649	12796779	16	NC_133184.1	12796627	12798013	Interval_87730	0
NC_133184.1	12809435	12809533	16	NC_133184.1	12808294	12810151	Interval_87732	0
NC_133184.1	12812177	12812291	16	NC_133184.1	12812165	12812376	Interval_87733	0
NC_133184.1	14016340	14016420	17	NC_133184.1	14016234	14016531	Interval_87893	0
NC_133184.1	17706959	17707111	20	NC_133184.1	17705792	17707223	Interval_88310	0
NC_133184.1	18674490	18674554	21	NC_133184.1	18674486	18674686	Interval_88477	0
NC_133184.1	18712511	18712660	20	NC_133184.1	18712387	18712575	Interval_88481	0
NC_133184.1	19497072	19497184	24	NC_133184.1	19496799	19497164	Interval_88603	0
NC_133184.1	19715175	19715241	14	NC_133184.1	19715170	19715487	Interval_88635	0
NC_133184.1	22482371	22482514	22	NC_133184.1	22481862	22482486	Interval_89066	0
NC_133184.1	22678976	22679034	14	NC_133184.1	22678884	22680423	Interval_89104	0
NC_133184.1	22706304	22706391	19	NC_133184.1	22705718	22706653	Interval_89110	0
NC_133184.1	22784638	22784831	17	NC_133184.1	22784553	22785107	Interval_89122	0
NC_133184.1	23034225	23034308	15	NC_133184.1	23033615	23034915	Interval_89163	0
NC_133184.1	24521020	24521073	16	NC_133184.1	24520540	24521874	Interval_89437	0
NC_133184.1	25450865	25450986	18	NC_133184.1	25449879	25450890	Interval_89603	0
NC_133184.1	25876928	25877061	25	NC_133184.1	25876689	25877145	Interval_89672	0
NC_133184.1	27018011	27018082	15	NC_133184.1	27018000	27018373	Interval_89832	0
NC_133184.1	29410068	29410178	23	NC_133184.1	29409952	29410167	Interval_90211	0
NC_133184.1	30068446	30068544	16	NC_133184.1	30067313	30068939	Interval_90311	0
NC_133184.1	32398604	32398676	15	NC_133184.1	32397520	32398866	Interval_90626	0
NC_133184.1	32663072	32663123	15	NC_133184.1	32662928	32663167	Interval_90671	0
NC_133184.1	32684117	32684239	27	NC_133184.1	32684109	32684379	Interval_90675	0
NC_133184.1	32882544	32882665	29	NC_133184.1	32882341	32882918	Interval_90708	0
NC_133184.1	32961490	32961627	25	NC_133184.1	32961409	32962803	Interval_90726	0
NC_133184.1	33006490	33006575	16	NC_133184.1	33006317	33006884	Interval_90737	0
NC_133184.1	33047530	33047576	16	NC_133184.1	33047051	33047823	Interval_90746	0
NC_133184.1	33159197	33159338	22	NC_133184.1	33158823	33159586	Interval_90768	0
NC_133184.1	33773022	33773171	17	NC_133184.1	33772838	33773187	Interval_90835	0
NC_133184.1	34446632	34446687	15	NC_133184.1	34446170	34447158	Interval_90913	0
NC_133184.1	34586036	34586092	14	NC_133184.1	34585942	34586705	Interval_90936	0
NC_133184.1	34618550	34618666	15	NC_133184.1	34618126	34619028	Interval_90941	0
NC_133184.1	35049236	35049332	15	NC_133184.1	35049067	35049697	Interval_90993	0
NC_133184.1	35049357	35049469	18	NC_133184.1	35049067	35049697	Interval_90993	0
NC_133184.1	36099730	36099836	16	NC_133184.1	36099494	36099849	Interval_91136	0
NC_133184.1	36104830	36104970	17	NC_133184.1	36104706	36104967	Interval_91137	0
NC_133184.1	36186673	36186771	23	NC_133184.1	36186347	36186774	Interval_91144	0
NC_133184.1	36191841	36191958	15	NC_133184.1	36191586	36192873	Interval_91145	0
NC_133184.1	36274645	36274702	17	NC_133184.1	36274497	36276181	Interval_91160	0
NC_133184.1	38278707	38278782	15	NC_133184.1	38278699	38278916	Interval_91571	0
NC_133184.1	38290021	38290107	15	NC_133184.1	38289920	38290126	Interval_91575	0
NC_133184.1	38370298	38370440	19	NC_133184.1	38369973	38370667	Interval_91592	0
NC_133184.1	40380481	40380548	15	NC_133184.1	40380402	40380582	Interval_91905	0
NC_133184.1	40382607	40382702	19	NC_133184.1	40382700	40383172	Interval_91906	0
NC_133184.1	40744447	40744596	22	NC_133184.1	40744110	40744480	Interval_91976	0
NC_133184.1	42479571	42479666	18	NC_133184.1	42479097	42479817	Interval_92362	0
NC_133184.1	42710780	42710824	17	NC_133184.1	42710704	42711239	Interval_92409	0
NC_133184.1	42927684	42927815	20	NC_133184.1	42927253	42927723	Interval_92449	0
NC_133184.1	43252459	43252515	16	NC_133184.1	43251136	43252722	Interval_92514	0
NC_133184.1	43337283	43337361	15	NC_133184.1	43337127	43337525	Interval_92534	0
NC_133184.1	43342633	43342716	25	NC_133184.1	43342023	43342756	Interval_92536	0
NC_133184.1	44293391	44294053	50	NC_133184.1	44292843	44294199	Interval_92736	0
NC_133184.1	44645146	44645322	18	NC_133184.1	44645185	44645993	Interval_92824	0
NC_133184.1	44671929	44672021	18	NC_133184.1	44671919	44672496	Interval_92834	0
NC_133184.1	44789327	44789386	15	NC_133184.1	44788498	44789654	Interval_92870	0
NC_133184.1	45364461	45364581	17	NC_133184.1	45364509	45364695	Interval_93009	0
NC_133184.1	45730993	45731058	14	NC_133184.1	45731020	45731541	Interval_93100	0
NC_133184.1	46521415	46521517	18	NC_133184.1	46520841	46522148	Interval_93273	0
NC_133184.1	46586816	46586911	19	NC_133184.1	46586711	46586925	Interval_93287	0
NC_133184.1	47347805	47347943	28	NC_133184.1	47347142	47348660	Interval_93464	0
NC_133184.1	47496962	47497033	15	NC_133184.1	47496480	47497064	Interval_93492	0
NC_133184.1	50334413	50334565	28	NC_133184.1	50334108	50334590	Interval_94100	0
NC_133184.1	50372397	50372658	26	NC_133184.1	50372240	50372736	Interval_94107	0
NC_133184.1	50429738	50429964	30	NC_133184.1	50429787	50430102	Interval_94119	0
NC_133184.1	50449408	50449518	18	NC_133184.1	50449176	50450014	Interval_94123	0
NC_133184.1	50487996	50488088	18	NC_133184.1	50486829	50488176	Interval_94125	0
NC_133184.1	50630491	50630582	18	NC_133184.1	50630538	50631321	Interval_94153	0
NC_133184.1	50936264	50936587	34	NC_133184.1	50935338	50937390	Interval_94228	0
