seqnames,start,end,width,strand,phastcons,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,flank_txIds,flank_geneIds,flank_gene_distances
NC_133194.1,38382,38628,247,*,20,Promoter (<=1kb),20,37040,39220,2181,2,gja9b,NM_207093.1,592,NM_207093.1;NM_001040051.1;NM_200533.2;XM_073930632.1,gja9b;mycbp;srsf10b;srsf10b,0;4095;7880;7888
NC_133194.1,923122,923235,114,*,16,Intron (XM_021468221.2/fhod3a, intron 22 of 28),20,932055,937400,5346,1,gstr,NM_001045060.2,-8820,XR_012394785.1;XR_012394786.1;XM_021468221.2;XM_021468222.2;XM_021468223.2;XM_021468224.2;XM_021468225.2;XM_073931295.1;XM_073931296.1;XM_073931297.1,LOC141378953;LOC141378953;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a,0;0;0;0;0;0;0;0;0;0
NC_133194.1,923361,923534,174,*,20,Intron (XM_021468221.2/fhod3a, intron 23 of 28),20,932055,937400,5346,1,gstr,NM_001045060.2,-8521,XR_012394785.1;XR_012394786.1;XM_021468221.2;XM_021468222.2;XM_021468223.2;XM_021468224.2;XM_021468225.2;XM_073931295.1;XM_073931296.1;XM_073931297.1,LOC141378953;LOC141378953;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a;fhod3a,0;0;0;0;0;0;0;0;0;0
NC_133194.1,1022773,1022843,71,*,18,3' UTR,20,1022726,1028986,6261,2,eomesa,NM_131679.3,6143,XR_012394787.1;NM_131679.3;XM_005159319.6;XM_073931105.1;XM_073931106.1,LOC141378954;eomesa;eomesa;eomesa;eomesa,19703;0;0;0;0
NC_133194.1,1026475,1026563,89,*,23,Promoter (2-3kb),20,1022726,1028986,6261,2,eomesa,NM_131679.3,2423,XR_012394790.1;XR_012394791.1;NM_131679.3;XM_005159319.6;XM_073931105.1;XM_073931106.1,LOC141378956;LOC141378956;eomesa;eomesa;eomesa;eomesa,-3029;-3192;0;0;0;0
NC_133194.1,1212024,1212090,67,*,17,Intron (NM_200413.1/slc44a4, intron 18 of 21),20,1193562,1201387,7826,1,rnf5,XM_003200504.7,18462,NM_200413.1;XM_073930623.1,slc44a4;slc44a4,0;0
NC_133194.1,1253425,1253522,98,*,17,Intron (XM_073931005.1/ehmt2, intron 15 of 27),20,1243166,1265689,22524,2,ehmt2,NM_001113615.1,12167,XM_073931005.1;XM_073931006.1;XM_073931007.1;XM_073931008.1;XM_073931009.1;XM_073931010.1;XM_073931011.1;XM_073931012.1;XM_073931013.1;XM_073931014.1;XM_073931015.1;XM_073931016.1;XM_073931017.1;XM_073931018.1;XM_073931019.1;NM_001113615.1,ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2;ehmt2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,1926824,1926920,97,*,26,Distal Intergenic,20,1965867,1981817,15951,1,lrrc3b,XM_005173724.6,-38947,XM_073931342.1,slc45a4a,0
NC_133194.1,2263354,2263469,116,*,22,Intron (XM_073931307.1/si:ch211-149a19.3, intron 11 of 22),20,2239948,2242556,2609,1,ggcta,NM_001144818.1,23406,XM_073931307.1;XM_073931323.1;XM_073931325.1;XM_021468229.3;XM_073931306.1;XM_073931309.1;XM_073931311.1;XM_073931313.1;XM_073931315.1;XM_073931317.1;XM_073931318.1;XM_073931319.1;XM_073931320.1;XM_073931321.1;XM_073931322.1;XM_073931324.1;XM_073931310.1;XM_073931314.1;XM_073931308.1;XM_073931316.1,si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,2289016,2289066,51,*,15,Promoter (<=1kb),20,2241489,2288766,47278,2,si:ch211-149a19.3,XM_073931325.1,-250,XM_073931307.1;XM_073931323.1;XM_073931325.1;XM_021468229.3;XM_073931306.1;XM_073931309.1;XM_073931311.1;XM_073931313.1;XM_073931315.1;XM_073931317.1;XM_073931318.1;XM_073931319.1;XM_073931320.1;XM_073931321.1;XM_073931322.1;XM_073931324.1;XM_073931310.1;XM_073931314.1;XM_073931308.1;XM_073931316.1,si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3;si:ch211-149a19.3,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,2449179,2449261,83,*,15,Intron (XM_021468237.3/snx13, intron 12 of 25),20,2425673,2479260,53588,2,snx13,XM_021468237.3,29999,XM_021468237.3;XM_021468239.3;XM_021468240.3;XM_073931334.1,snx13;snx13;snx13;snx13,0;0;0;0
NC_133194.1,2875395,2875476,82,*,18,Intron (XM_073930619.1/sp4, intron 4 of 5),20,2867687,2881117,13431,1,sp4,NM_200124.1,7708,XM_073930619.1;XM_073930620.1;NM_200124.1,sp4;sp4;sp4,0;0;0
NC_133194.1,3043111,3043198,88,*,25,Distal Intergenic,20,3020634,3028957,8324,2,il6,NM_001261449.1,-14154,NA,NA,NA
NC_133194.1,3147536,3147621,86,*,25,Intron (XM_073931369.1/rapgef5a, intron 13 of 25),20,3147780,3167274,19495,2,LOC141378978,XR_012394837.1,19653,XR_012394837.1;XM_073931369.1,LOC141378978;rapgef5a,19653;0
NC_133194.1,3646319,3646417,99,*,15,Intron (XM_073931232.1/si:ch211-133n4.6, intron 1 of 8),20,3653813,3656602,2790,2,si:ch211-133n4.4,NM_001077376.1,10185,XM_073931232.1;XM_073931234.1;NM_001002164.1;XM_005159328.4,si:ch211-133n4.6;si:ch211-133n4.6;zgc:86598;zgc:86598,0;0;0;0
NC_133194.1,4248552,4248634,83,*,17,Promoter (1-2kb),20,4241666,4250086,8421,2,thrap3b,XM_073930751.1,1452,XM_073930751.1;XM_073930752.1;XM_073930750.1;XM_073930749.1;XM_005173742.5;XM_021468043.3;XM_068215111.2;XM_068215112.2;XM_073930748.1;NM_214815.1,thrap3b;thrap3b;thrap3b;thrap3b;thrap3b;thrap3b;thrap3b;thrap3b;thrap3b;thrap3b,0;0;0;0;0;0;0;0;0;0
NC_133194.1,4309762,4309812,51,*,18,Intron (NM_001113635.1/map7d1b, intron 12 of 16),20,4303229,4304096,868,2,LOC137488463,XR_011007500.1,-5666,NM_001113635.1;XM_005173746.2;XM_005173747.2;XM_005173748.2,map7d1b;map7d1b;map7d1b;map7d1b,0;0;0;0
NC_133194.1,4406616,4406686,71,*,18,Intron (NM_001003756.1/meaf6, intron 5 of 6),20,4410260,4424312,14053,1,btr23,XM_009293985.5,-3574,XM_009293985.5;XM_073931387.1;NM_001003756.1;XM_005173744.5;XM_073930377.1;XM_073930381.1;XM_073930375.1,btr23;btr23;meaf6;meaf6;stpg1;stpg1;stpg1,-3574;-3876;0;0;-4751;-4751;-4728
NC_133194.1,4537448,4537561,114,*,20,Promoter (<=1kb),20,4533772,4536945,3174,2,LOC141378988,XR_012394859.1,-503,XR_012394859.1;XM_073931376.1;XM_073931377.1;XM_073931378.1,LOC141378988;trappc9;trappc9;trappc9,-503;0;0;0
NC_133194.1,5002859,5002973,115,*,17,Intron (XM_073930460.1/col22a1, intron 7 of 64),20,4958977,5072401,113425,1,col22a1,NM_001291376.1,43882,XM_073930460.1;XM_073930461.1;XM_073930462.1;NM_001291376.1,col22a1;col22a1;col22a1;col22a1,0;0;0;0
NC_133194.1,5811471,5811569,99,*,25,Intron (XM_003200531.7/cdk12, intron 6 of 13),20,5786392,5835555,49164,1,cdk12,XM_003200531.7,25079,XR_012394877.1;XM_003200531.7,cdk12;cdk12,25079;0
NC_133194.1,5812041,5812106,66,*,16,Intron (XM_003200531.7/cdk12, intron 6 of 13),20,5786392,5835555,49164,1,cdk12,XM_003200531.7,25649,XR_012394877.1;XM_003200531.7,cdk12;cdk12,25649;0
NC_133194.1,5913029,5913105,77,*,19,Intron (NM_131662.1/stard3, intron 12 of 14),20,5923086,5931479,8394,1,zgc:91968,NM_001002167.1,-9981,NM_131662.1;XM_005159353.5,stard3;stard3,0;0
NC_133194.1,5913223,5913298,76,*,16,Intron (NM_131662.1/stard3, intron 12 of 14),20,5923086,5931479,8394,1,zgc:91968,NM_001002167.1,-9788,NM_131662.1;XM_005159353.5,stard3;stard3,0;0
NC_133194.1,5914666,5914712,47,*,17,Intron (NM_131662.1/stard3, intron 14 of 14),20,5923086,5931479,8394,1,zgc:91968,NM_001002167.1,-8374,NM_131662.1;XM_005159353.5,stard3;stard3,0;0
NC_133194.1,5960655,5960794,140,*,21,Intron (XM_005159352.5/chd4a, intron 21 of 40),20,5933420,5992252,58833,2,chd4a,XM_005159352.5,31458,XM_005159352.5;XM_021468085.3;NM_001044858.1,chd4a;chd4a;chd4a,0;0;0
NC_133194.1,5962516,5962660,145,*,30,Intron (XM_005159352.5/chd4a, intron 18 of 40),20,5933420,5992252,58833,2,chd4a,XM_005159352.5,29592,XM_005159352.5;XM_021468085.3;NM_001044858.1,chd4a;chd4a;chd4a,0;0;0
NC_133194.1,5975118,5975201,84,*,19,Intron (XM_005159352.5/chd4a, intron 7 of 40),20,5933420,5992252,58833,2,chd4a,XM_005159352.5,17051,XM_005159352.5;XM_021468085.3;NM_001044858.1,chd4a;chd4a;chd4a,0;0;0
NC_133194.1,6079690,6079746,57,*,15,5' UTR,20,6069025,6084498,15474,1,si:dkey-89b17.4,XM_073931435.1,10665,XM_009293994.5;XM_068215230.2;XM_073931422.1;XM_073931424.1;XM_073931425.1;XM_073931428.1;XM_073931430.1;XM_073931431.1;XM_073931434.1;XM_009293995.5;XM_073931423.1;XM_073931426.1;XM_073931427.1;XM_073931429.1;XM_073931432.1;XM_073931433.1;XM_073931435.1,si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4;si:dkey-89b17.4,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,6629471,6629530,60,*,14,Distal Intergenic,20,6599249,6621732,22484,2,si:ch211-264f5.2,XM_068215174.2,-7739,NM_200996.1;NM_001177451.1;XR_012394648.1,pdk2b;zgc:174904;zgc:174904,13669;11203;11224
NC_133194.1,7025253,7025391,139,*,21,Promoter (<=1kb),20,7001030,7025567,24538,2,gsk3aa,XM_073930929.1,176,XM_003200533.6;XM_009294004.4;NM_001044921.3;NM_001365534.1;XM_073930929.1;XM_073930930.1,cica;cica;gsk3aa;gsk3aa;gsk3aa;gsk3aa,51141;51141;0;0;0;0
NC_133194.1,7175942,7176045,104,*,20,Intron (XM_009294006.5/pou2f2a, intron 6 of 15),20,7083672,7135771,52100,2,erf,XM_005159364.5,-40171,XM_009294006.5;XM_021468267.3;XM_068215233.2;XM_073931453.1;XM_073931448.1;XM_073931449.1;XM_073931451.1;XM_073931452.1,pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a;pou2f2a,0;0;0;0;0;0;0;0
NC_133194.1,7275250,7275312,63,*,16,Intron (NM_131684.2/atp1a3a, intron 19 of 20),20,7158483,7262671,104189,2,pou2f2a,XM_073931452.1,-12579,NM_131684.2,atp1a3a,0
NC_133194.1,7275891,7276031,141,*,34,Intron (NM_131684.2/atp1a3a, intron 18 of 20),20,7158483,7262671,104189,2,pou2f2a,XM_073931452.1,-13220,NM_131684.2,atp1a3a,0
NC_133194.1,7277791,7277942,152,*,21,Intron (NM_131684.2/atp1a3a, intron 17 of 20),20,7158483,7262671,104189,2,pou2f2a,XM_073931452.1,-15120,NM_131684.2,atp1a3a,0
NC_133194.1,7280702,7280832,131,*,22,Intron (NM_131684.2/atp1a3a, intron 16 of 20),20,7158483,7262671,104189,2,pou2f2a,XM_073931452.1,-18031,NM_131684.2,atp1a3a,0
NC_133194.1,7305139,7305279,141,*,37,Intron (NM_131684.2/atp1a3a, intron 4 of 20),20,7320638,7328190,7553,1,LOC141379001,XR_012394882.1,-15359,NM_131684.2,atp1a3a,0
NC_133194.1,7309020,7309080,61,*,22,Intron (NM_131684.2/atp1a3a, intron 1 of 20),20,7320638,7328190,7553,1,LOC141379001,XR_012394882.1,-11558,NM_131684.2,atp1a3a,0
NC_133194.1,8020347,8020814,468,*,22,Intron (XM_005159417.6/znf384a, intron 11 of 11),20,8019974,8042771,22798,2,znf384a,NM_001316340.1,21957,XM_005159417.6;XM_005159421.6;XM_017352193.4;XM_021468009.3;XM_068215042.2;XM_068215043.2;XM_073930604.1;XM_073930605.1;XM_073930606.1;XM_073930607.1;XM_073930608.1;XM_073930609.1;XM_073930610.1;XM_073930611.1;XM_073930612.1;NM_001316340.1,znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8034363,8034509,147,*,18,Intron (XM_005159417.6/znf384a, intron 4 of 11),20,8019974,8042771,22798,2,znf384a,NM_001316340.1,8262,XM_005159417.6;XM_005159421.6;XM_017352193.4;XM_021468009.3;XM_068215042.2;XM_068215043.2;XM_073930604.1;XM_073930605.1;XM_073930606.1;XM_073930607.1;XM_073930608.1;XM_073930609.1;XM_073930610.1;XM_073930611.1;XM_073930612.1;NM_001316340.1,znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a;znf384a,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8057176,8057296,121,*,18,Promoter (1-2kb),20,8055196,8060722,5527,1,zbtb22b,NM_001311347.1,1980,NM_001044954.2;NM_131206.2;XM_073930499.1;XR_012394463.1;NM_001311347.1,kifc1;kifc1;kifc1;kifc1;zbtb22b,12254;12254;12210;12210;0
NC_133194.1,8161138,8161339,202,*,32,Intron (NM_131392.3/psmb8a, intron 4 of 5),20,8160714,8165454,4741,2,psmb8a,NM_131392.3,4115,XM_073931104.1;XM_073931103.1;XM_073931102.1;NM_131392.3;XM_073930555.1,psmb13a;psmb13a;psmb13a;psmb8a;psmb8a,0;0;0;0;0
NC_133194.1,8164273,8164375,103,*,30,Promoter (1-2kb),20,8160714,8165454,4741,2,psmb8a,NM_131392.3,1079,XM_073931104.1;XM_073931103.1;XM_073931102.1;NM_131677.2;XM_073931093.1;XM_073931101.1;XM_073931096.1;XM_073931098.1;XM_073931099.1;XM_073931095.1;XM_073931100.1;XM_073931094.1;NM_131392.3;XM_073930555.1,psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb8a;psmb8a,0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8169134,8169260,127,*,16,Promoter (<=1kb),20,8166653,8170068,3416,2,psmb13a,NM_131677.2,808,NM_131676.2;XM_073931104.1;XM_073931103.1;XM_073931102.1;NM_131677.2;XM_073931093.1;XM_073931101.1;XM_073931096.1;XM_073931098.1;XM_073931099.1;XM_073931095.1;XM_073931100.1;XM_073931094.1;NM_131392.3;XM_073930555.1,psmb12;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb8a;psmb8a,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8173836,8173910,75,*,16,Promoter (1-2kb),20,8175308,8177247,1940,1,psmb9a,NM_131391.2,-1398,NM_131676.2;XM_073931104.1;XM_073931103.1;XM_073931102.1;NM_131677.2;XM_073931093.1;XM_073931101.1;XM_073931096.1;XM_073931098.1;XM_073931099.1;XM_073931095.1;XM_073931100.1;XM_073931094.1;XM_073930555.1;NM_131391.2;XM_073930553.1,psmb12;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb8a;psmb9a;psmb9a,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8176178,8176293,116,*,27,Promoter (<=1kb),20,8175355,8176790,1436,1,psmb9a,XM_073930553.1,823,NM_131676.2;XM_073931104.1;XM_073931103.1;XM_073931102.1;XM_073931093.1;XM_073931101.1;XM_073931096.1;XM_073931098.1;XM_073931099.1;XM_073931095.1;XM_073931100.1;XM_073931094.1;XM_073930555.1;NM_131391.2;XM_073930553.1;NM_001006594.1,psmb12;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb13a;psmb8a;psmb9a;psmb9a;tap2a,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2982
NC_133194.1,8218419,8218587,169,*,17,Intron (XR_012394462.1/brd2a, intron 9 of 12),20,8211598,8225545,13948,1,brd2a,XM_073930497.1,6821,XR_012394462.1;XM_068215022.2;XM_073930496.1;XR_012394461.1;XR_012394459.1;XR_012394460.1;NM_001270571.1;NM_131200.2;XM_073930495.1;XM_073930497.1,brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a;brd2a,0;0;0;0;0;0;0;0;0;0
NC_133194.1,8236118,8236358,241,*,25,3' UTR,20,8228741,8234561,5821,1,hsd17b8,NM_001005292.2,7377,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1;NM_001005292.2,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;hsd17b8,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7377
NC_133194.1,8242627,8242706,80,*,15,Intron (NM_001079992.2/col11a2, intron 52 of 64),20,8228741,8234561,5821,1,hsd17b8,NM_001005292.2,13886,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8242976,8243107,132,*,21,Intron (NM_001079992.2/col11a2, intron 50 of 64),20,8228741,8234561,5821,1,hsd17b8,NM_001005292.2,14235,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8243226,8243273,48,*,14,Intron (NM_001079992.2/col11a2, intron 48 of 64),20,8228741,8234561,5821,1,hsd17b8,NM_001005292.2,14485,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8247066,8247124,59,*,14,Intron (NM_001079992.2/col11a2, intron 32 of 64),20,8228741,8234561,5821,1,hsd17b8,NM_001005292.2,18325,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8247215,8247267,53,*,17,Intron (NM_001079992.2/col11a2, intron 30 of 64),20,8228741,8234561,5821,1,hsd17b8,NM_001005292.2,18474,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8269288,8269519,232,*,32,Intron (NM_001079992.2/col11a2, intron 4 of 64),20,8234867,8280249,45383,2,col11a2,XM_005159442.5,10730,NM_001079992.2;NM_001328265.1;XM_005159442.5;XM_005159443.4;XM_005159448.5;XM_005159450.5;XM_017352253.3;XM_068215158.1;XM_068215159.1;XM_068215160.1;XM_073930945.1;XM_073930946.1;XM_073930947.1;XM_073930948.1;XM_073930949.1,col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2;col11a2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NC_133194.1,8468616,8468688,73,*,20,Downstream (<=300bp),20,8464093,8468465,4373,1,naxe,NM_001002618.1,4523,XM_073930759.1;NM_001002618.1;XM_068215122.2;NM_001008641.2,naxe;naxe;rab25a;rab25a,5921;4523;7875;7997
NC_133194.1,9657015,9657219,205,*,25,Promoter (1-2kb),20,9641297,9658762,17466,2,trim46b,NM_001083100.1,1543,XM_009294019.4;XR_012394451.1;XM_005159406.5;XR_012394452.1;NM_001083100.1;XR_012394453.1,trim46b;trim46b;trim46b;trim46b;trim46b;trim46b,0;0;0;0;0;0
